"","Pathway","Cabo Douglas","Punta Espinoza","Rabida"
"1","1CMET2-PWY",1,1,1
"2","ANAEROFRUCAT-PWY",1,1,1
"3","ANAGLYCOLYSIS-PWY",1,1,1
"4","ARG+POLYAMINE-SYN",1,1,1
"5","ARGININE-SYN4-PWY",1,1,1
"6","ARGSYN-PWY",1,1,1
"7","ARGSYNBSUB-PWY",1,1,1
"8","ARO-PWY",1,1,1
"9","ASPASN-PWY",1,1,1
"10","AST-PWY",1,1,0
"11","BIOTIN-BIOSYNTHESIS-PWY",0,1,0
"12","BRANCHED-CHAIN-AA-SYN-PWY",1,1,1
"13","CALVIN-PWY",1,1,1
"14","CATECHOL-ORTHO-CLEAVAGE-PWY",1,0,0
"15","CENTFERM-PWY",1,1,1
"16","CHLOROPHYLL-SYN",0,1,1
"17","CITRULBIO-PWY",1,1,1
"18","COA-PWY",1,1,1
"19","COA-PWY-1",1,1,1
"20","COBALSYN-PWY",1,1,1
"21","COLANSYN-PWY",1,1,1
"22","COMPLETE-ARO-PWY",1,1,1
"23","DAPLYSINESYN-PWY",1,1,1
"24","DARABCATK12-PWY",0,1,0
"25","DENITRIFICATION-PWY",1,0,0
"26","DTDPRHAMSYN-PWY",1,1,1
"27","FAO-PWY",1,1,0
"28","FASYN-ELONG-PWY",1,1,0
"29","FERMENTATION-PWY",1,1,1
"30","FOLSYN-PWY",1,1,1
"31","FUC-RHAMCAT-PWY",0,1,0
"32","FUCCAT-PWY",1,1,1
"33","GALACTARDEG-PWY",0,1,0
"34","GALACTITOLCAT-PWY",1,0,0
"35","GALACTUROCAT-PWY",1,1,1
"36","GLCMANNANAUT-PWY",1,1,1
"37","GLUCARDEG-PWY",0,1,0
"38","GLUCARGALACTSUPER-PWY",0,1,0
"39","GLUCONEO-PWY",1,1,1
"40","GLUCOSE1PMETAB-PWY",1,1,0
"41","GLUCUROCAT-PWY",1,1,1
"42","GLUDEG-I-PWY",1,1,1
"43","GLUTORN-PWY",1,1,1
"44","GLYCOCAT-PWY",1,1,0
"45","GLYCOGENSYNTH-PWY",1,1,1
"46","GLYCOL-GLYOXDEG-PWY",0,1,1
"47","GLYCOLYSIS",1,1,1
"48","GLYCOLYSIS-E-D",1,1,0
"49","GLYOXYLATE-BYPASS",1,1,1
"50","GOLPDLCAT-PWY",1,1,1
"51","HEME-BIOSYNTHESIS-II",1,1,1
"52","HEME-BIOSYNTHESIS-II-1",1,1,1
"53","HEMESYN2-PWY",1,1,1
"54","HISDEG-PWY",1,1,1
"55","HISTSYN-PWY",1,1,1
"56","HOMOSER-METSYN-PWY",1,1,0
"57","HSERMETANA-PWY",1,1,1
"58","ILEUSYN-PWY",1,1,1
"59","KETOGLUCONMET-PWY",1,0,0
"60","LACTOSECAT-PWY",1,1,1
"61","LIPASYN-PWY",0,1,1
"62","MET-SAM-PWY",1,1,0
"63","METHGLYUT-PWY",1,0,0
"64","METSYN-PWY",1,1,0
"65","NAD-BIOSYNTHESIS-II",1,0,0
"66","NAGLIPASYN-PWY",1,1,1
"67","NONMEVIPP-PWY",1,1,1
"68","NONOXIPENT-PWY",1,1,1
"69","OANTIGEN-PWY",1,1,1
"70","ORNDEG-PWY",1,1,0
"71","P101-PWY",0,1,0
"72","P105-PWY",1,1,0
"73","P108-PWY",1,1,0
"74","P161-PWY",1,1,1
"75","P164-PWY",1,1,1
"76","P185-PWY",1,0,1
"77","P221-PWY",1,1,1
"78","P41-PWY",1,1,1
"79","P42-PWY",1,1,0
"80","P441-PWY",1,1,1
"81","P461-PWY",1,1,1
