Type,Class,Gene,Location,Mean,SD
ARG,aminoglycoside,AAC(3)-II,Cabo Douglas,1.75E-05,3.20E-05
ARG,aminoglycoside,AAC(3)-II,Punta Espinoza,0,0
ARG,aminoglycoside,AAC(3)-II,Rabida,0,0
ARG,aminoglycoside,AAC(3)-VIII,Cabo Douglas,0,0
ARG,aminoglycoside,AAC(3)-VIII,Punta Espinoza,3.70E-06,1.28E-05
ARG,aminoglycoside,AAC(3)-VIII,Rabida,0,0
ARG,aminoglycoside,AAC(6')-I,Cabo Douglas,2.62E-05,3.93E-05
ARG,aminoglycoside,AAC(6')-I,Punta Espinoza,4.11E-06,1.42E-05
ARG,aminoglycoside,AAC(6')-I,Rabida,8.51E-06,2.41E-05
ARG,aminoglycoside,AADA,Cabo Douglas,5.48E-06,1.90E-05
ARG,aminoglycoside,AADA,Punta Espinoza,0,0
ARG,aminoglycoside,AADA,Rabida,0,0
ARG,aminoglycoside,AADE,Cabo Douglas,0,0
ARG,aminoglycoside,AADE,Punta Espinoza,0,0
ARG,aminoglycoside,AADE,Rabida,7.86E-06,2.22E-05
ARG,aminoglycoside,APH(3''')-III,Cabo Douglas,0,0
ARG,aminoglycoside,APH(3''')-III,Punta Espinoza,5.29E-06,1.83E-05
ARG,aminoglycoside,APH(3''')-III,Rabida,0,0
ARG,aminoglycoside,APH(3'')-I,Cabo Douglas,5.48E-06,1.90E-05
ARG,aminoglycoside,APH(3'')-I,Punta Espinoza,0,0
ARG,aminoglycoside,APH(3'')-I,Rabida,0,0
ARG,aminoglycoside,APH(3')-VII,Cabo Douglas,0,0
ARG,aminoglycoside,APH(3')-VII,Punta Espinoza,5.06E-06,1.75E-05
ARG,aminoglycoside,APH(3')-VII,Rabida,0,0
ARG,aminoglycoside,KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA,Cabo Douglas,6.58E-05,1.44E-05
ARG,aminoglycoside,KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA,Punta Espinoza,5.87E-05,9.90E-06
ARG,aminoglycoside,KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA,Rabida,6.37E-05,7.26E-06
ARG,aminoglycoside,KDPE,Cabo Douglas,6.58E-05,1.44E-05
ARG,aminoglycoside,KDPE,Punta Espinoza,5.87E-05,9.90E-06
