"Location","beta.LocationRabida","se.LocationRabida","W.LocationRabida","p_val.LocationRabida","q_val.LocationRabida","diff_abn.LocationRabida"
"glycolysis III (from glucose)",0.716088582830206,0.315333599175023,2.27089211141356,0.0231535099258419,1,FALSE
"L-ornithine biosynthesis II",-3.85322288959367,1.62123847765649,-2.37671566687927,0.0174675468656858,1,FALSE
"biotin biosynthesis I",-2.58725998788794,1.2106213073246,-2.13713402550764,0.0325870921836936,1,FALSE
"superpathway of branched chain amino acid biosynthesis",0.641006055590663,0.31734908975367,2.01987677383357,0.043396171025672,1,FALSE
"pyruvate fermentation to butanoate",-4.3860528923418,1.66092084470162,-2.64073565355833,0.0082726238561833,1,FALSE
"fatty acid &beta;-oxidation I (generic)",-2.68795555890093,1.20563952958435,-2.22948525902067,0.0257816350384908,1,FALSE
"fatty acid elongation -- saturated",-2.72479554082725,1.2663019765461,-2.15177389856033,0.0314151665654647,1,FALSE
"mixed acid fermentation",-4.12145212619732,1.850395944215,-2.22733525712832,0.025924875859,1,FALSE
"superpathway of tetrahydrofolate biosynthesis and salvage",-4.19753317150359,1.74530274810139,-2.40504587302681,0.0161704358197586,1,FALSE
"glucose and glucose-1-phosphate degradation",-3.75036086662056,1.49283557891069,-2.5122397399968,0.0119967558307973,1,FALSE
"glycogen biosynthesis I (from ADP-D-Glucose)",0.692860965585816,0.318010795968871,2.17873410075562,0.0293514269437023,1,FALSE
"superpathway of glycolysis and the Entner-Doudoroff pathway",-3.5647321240163,1.28882594282904,-2.7658755193828,0.00567702006686051,1,FALSE
"L-histidine degradation I",0.592140263588399,0.301285896839273,1.96537663993044,0.0493706611442327,1,FALSE
"L-isoleucine biosynthesis I (from threonine)",0.634313646288582,0.317459667034737,1.99809207958116,0.045706678277887,1,FALSE
"methylerythritol phosphate pathway I",0.572379435114199,0.288617445112157,1.98317684813464,0.0473476790122646,1,FALSE
"pentose phosphate pathway (non-oxidative branch) I",0.576653648977532,0.292685884359357,1.97021339187482,0.0488139193745062,1,FALSE
"pyruvate fermentation to acetate and (S)-lactate I",0.653856670699928,0.31490850863044,2.07633853255855,0.0378626518881292,1,FALSE
"incomplete reductive TCA cycle",-2.78913508095172,1.2798536505543,-2.17926094889346,0.0293122884714766,1,FALSE
"hexitol fermentation to lactate, formate, ethanol and acetate",5.57188331318573,1.79331815881049,3.10702442051977,0.00188980786688761,0.427096577916599,FALSE
"phosphopantothenate biosynthesis I",0.640271998210015,0.318770297806924,2.00856856054331,0.0445829083066634,1,FALSE
"superpathway of coenzyme A biosynthesis I (bacteria)",0.634141205932447,0.308602109510624,2.05488292655568,0.0398903139274705,1,FALSE
"pentose phosphate pathway",-7.36803780402039,1.36972238249148,-5.37921983184518,7.48093157034042e-08,1.7954235768817e-05,TRUE
"peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0.582345714523701,0.290196083685067,2.00673181777217,0.0447782262054165,1,FALSE
"superpathway of phospholipid biosynthesis I (bacteria)",-5.22368047796808,1.6664655891459,-3.13458646370571,0.00172096528673301,0.390659120088394,FALSE
"polyisoprenoid biosynthesis (E. coli)",-4.25559643875081,1.82581926847556,-2.33078734145683,0.019764575934059,1,FALSE
"glycolysis IV",0.665086345031422,0.311461926773148,2.1353696482968,0.0327308278851066,1,FALSE
