# Pathway	CD11_S3_L008_paired_merged.assembled_Abundance	CD13_S9_L008_paired_merged.assembled_Abundance	CD15_S1_L008_paired_merged.assembled_Abundance	CD18_S19_L008_paired_merged.assembled_Abundance	CD21_S24_L008_paired_merged.assembled_Abundance	CD27_S29_L008_paired_merged.assembled_Abundance	CD34_S34_L008_paired_merged.assembled_Abundance	CD38_S39_L008_paired_merged.assembled_Abundance	CD44_S4_L008_paired_merged.assembled_Abundance	CD49_S10_L008_paired_merged.assembled_Abundance	CD4_S33_L008_paired_merged.assembled_Abundance	CD6_S38_L008_paired_merged.assembled_Abundance	PE04_S35_L008_paired_merged.assembled_Abundance	PE23_S40_L008_paired_merged.assembled_Abundance	PE25_S5_L008_paired_merged.assembled_Abundance	PE32_S11_L008_paired_merged.assembled_Abundance	PE36_S16_L008_paired_merged.assembled_Abundance	PE37_S21_L008_paired_merged.assembled_Abundance	PE48_S26_L008_paired_merged.assembled_Abundance	PE49_S31_L008_paired_merged.assembled_Abundance	PE52_S36_L008_paired_merged.assembled_Abundance	PE54_S41_L008_paired_merged.assembled_Abundance	PE57_S6_L008_paired_merged.assembled_Abundance	PE60_S12_L008_paired_merged.assembled_Abundance	R01_S17_L008_paired_merged.assembled_Abundance	R02_S22_L008_paired_merged.assembled_Abundance	R03_S27_L008_paired_merged.assembled_Abundance	R04_S32_L008_paired_merged.assembled_Abundance	R05_S37_L008_paired_merged.assembled_Abundance	R06_S42_L008_paired_merged.assembled_Abundance	R07_S7_L008_paired_merged.assembled_Abundance	R08_S13_L008_paired_merged.assembled_Abundance
UNMAPPED	0.838035	0.818887	0.801145	0.820573	0.817057	0.828029	0.802341	0.81726	0.807352	0.815698	0.808278	0.823477	0.82782	0.772324	0.813098	0.811914	0.812923	0.819077	0.852789	0.827908	0.832058	0.840835	0.819081	0.809416	0.815451	0.812875	0.815404	0.831539	0.836238	0.824235	0.796544	0.811154
UNINTEGRATED	0.145135	0.160816	0.183676	0.159022	0.160602	0.152029	0.175269	0.16027	0.170235	0.163253	0.170562	0.156627	0.153797	0.2014	0.16743	0.167114	0.168582	0.161649	0.130112	0.151149	0.148548	0.141286	0.160009	0.168626	0.164958	0.166253	0.162906	0.148724	0.144912	0.156052	0.18413	0.166535
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0.00676442	0	0	0	0	0.00254882	0.0113524	0.00178407	0	0	0	0	0.0022004	0	0	0.00486208	0	0	0	0	0.0108561	0
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus	0	0	0	0	0.001057	0	0	0	0	0	0.00161253	0	0	0	0	0.00317039	0.00101635	0.00423036	0.000645524	0	0	0	0	0	0	0	0	0	0.00146676	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	0	0	0	0.00127337	0	0	0	0	0	0	0	0	0.00145135	0	0.00111673	0.00283355	0.00096716	0	0	0	0	0	0	0	0	0.00176067	0	0	0.00275937	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	0	0.00179364	0	0	0	0	0	0	0	0	0	0	0.00332771	0.00351927	0.00316665	0.00340617	0.0114964	0	0	0.00213789	0	0	0	0	0	0	0	0	0.00522494	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000755442	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	0	0	0	0	0	0	0	0	0	0.000321138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_breve	0	0	0	0	0	0	0	0	0.00105943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0.000385771	0.000323005	0	0	0.000293811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Butyricimonas.s__Butyricimonas_synergistica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00400762	0.00219812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0.00278516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Cutibacterium.s__Cutibacterium_acnes	0	0.00409594	0.00838047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	0	0.00270811	0.002445	0.00446173	0.00872739	0.00521657	0.00730497	0.00464756	0.00273132	0	0.00257449	0	0	0	0	0.00233962	0.00127313	0	0.00378106	0	0	0	0	0.0017288	0	0.00241818	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae_complex	0	0	0	0	0	0	0	0	0	0	0.000860759	0.00912139	0	0	0	0	0	0	0.00604283	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0.00605768	0	0.00411383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	0.0404205	0	0	0	0	0	0	0	0.0137713	0	0.00446691	0.0113015	0	0	0.0101635	0	0.0190942	0	0	0	0	0	0.0113108	0	0.0188191	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_quasipneumoniae	0	0	0.00605364	0	0	0	0	0	0	0	0.00138979	0.00146206	0	0	0	0	0.00184688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_variicola	0	0	0.00634728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
