feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Anaerovoracaceae	location	Rabida	0.18738863537828	0.0995849846666713	38	38	0.0679822842760813	0.249268375678965
Bacteroidaceae	location	Rabida	-0.447356196318613	0.232211953226893	38	38	0.0619654012412012	0.249268375678965
Clostridiaceae	location	Rabida	0.106830989613416	0.0544901041880732	38	38	0.057704106971257	0.249268375678965
Oscillospiraceae	location	Rabida	-0.137848137392694	0.0877643677567932	38	38	0.125010093687544	0.343777757640746
Lachnospiraceae	location	Rabida	-0.0469957144166804	0.0395955018004708	38	38	0.243042330390329	0.534693126858723
Bacillaceae	location	Rabida	-0.054885010033074	0.0756841111746099	38	38	0.473026112568903	0.650410904782242
Christensenellaceae	location	Rabida	0.0653007103702144	0.0699084313280559	38	38	0.356481284733476	0.650410904782242
Ruminococcaceae	location	Rabida	-0.0645297684218243	0.0561577391237003	38	38	0.416482277881998	0.650410904782242
Caloramatoraceae	location	Rabida	-0.0405105746594131	0.0808225856613147	38	38	0.619261674753583	0.681187842228941
Family.XI	location	Rabida	0.0505831235884735	0.0898839208299993	38	38	0.577086079464665	0.681187842228941
Peptostreptococcaceae	location	Rabida	-0.00654238223882634	0.0420053477777533	38	38	0.897614475338877	0.897614475338877
