feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Caloramatoraceae	location	Punta Espinoza	-0.238917175474718	0.0567942287452119	68	68	8.10430335786082e-05	0.00162086067157216
Lachnospiraceae	location	Punta Espinoza	0.0681498249576372	0.0231373268402805	68	68	0.00447119238689376	0.0447119238689376
Anaerovoracaceae	location	Rabida	0.40772175433254	0.142211663392363	68	68	0.0120815344758241	0.080543563172161
Bacteroidaceae	location	Rabida	-0.447258610862199	0.193147673626019	68	68	0.0237443628322452	0.11606936136172
Oscillospiraceae	location	Punta Espinoza	0.120897392087249	0.054147814030463	68	68	0.0290173403404301	0.11606936136172
Bacillaceae	location	Punta Espinoza	0.104097578463509	0.0498880836901669	68	68	0.0408494139682085	0.124756734873824
Clostridiaceae	location	Rabida	0.106928575069831	0.051972959204655	68	68	0.0436648572058383	0.124756734873824
Bacteroidaceae	location	Punta Espinoza	0.250166791021523	0.125330760414854	68	68	0.0501209950785758	0.125302487696439
Peptostreptococcaceae	location	Punta Espinoza	-0.035277399381203	0.0184737464423484	68	68	0.0606002516089161	0.134667225797591
Clostridiaceae	location	Punta Espinoza	-0.0607156743220588	0.0337245092102011	68	68	0.0764465896178986	0.152893179235797
Oscillospiraceae	location	Rabida	-0.137750551936277	0.0834473857598866	68	68	0.103614283572133	0.188389606494788
