feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Campylobacterota	location	Punta Espinoza	0.184086182529049	0.0643837529211602	68	7	0.0267965104411136	0.214372083528909
Desulfobacterota	location	Punta Espinoza	0.418891456875378	0.18150838886191	68	61	0.024201157011309	0.214372083528909
Bacteroidota	location	Punta Espinoza	0.257157766492108	0.117491845306385	68	68	0.0567112778860323	0.251960786336054
Verrucomicrobiota	location	Rabida	-0.57428185893742	0.303583010664248	68	58	0.0629901965840135	0.251960786336054
Bacteroidota	location	Rabida	-0.370368166955119	0.183400209193516	68	68	0.0985782508979191	0.315450402873341
Proteobacteria	location	Punta Espinoza	0.179263913215513	0.112675351541917	68	68	0.129013340265867	0.344035574042313
Verrucomicrobiota	location	Punta Espinoza	0.277943298800613	0.196990669684439	68	58	0.163028781156045	0.37263721407096
Firmicutes	location	Rabida	0.00765346474756473	0.00673850995585067	68	68	0.297141989823235	0.59428397964647
Desulfobacterota	location	Rabida	-0.268207425727388	0.279723213489173	68	61	0.341196673070564	0.606571863236558
Actinobacteriota	location	Punta Espinoza	-0.12471552324421	0.151143841629535	68	64	0.418386302260596	0.608561894197231
Cyanobacteria	location	Punta Espinoza	0.0512958727226892	0.0618214457330722	68	7	0.409721471955392	0.608561894197231
Actinobacteriota	location	Rabida	0.103748079706719	0.262679735463318	68	64	0.702109941326224	0.936146588434965
Campylobacterota	location	Rabida	0.0209201133003401	0.100847686347284	68	7	0.8471699905508	0.948987273675506
Cyanobacteria	location	Rabida	-0.0105599626599241	0.0952732464401842	68	7	0.912085791615797	0.948987273675506
Firmicutes	location	Punta Espinoza	0.000294526100780239	0.00426562987499446	68	68	0.946110936008385	0.948987273675506
Proteobacteria	location	Rabida	-0.0120090096981105	0.18258273861738	68	68	0.948987273675506	0.948987273675506
