feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroidaceae	location	Punta Espinoza	0.697425401883717	0.193147673626019	68	68	0.000594525613400529	0.0118905122680106
Clostridiaceae	location	Punta Espinoza	-0.167644249391893	0.0519729592046549	68	68	0.00196904516268719	0.013126967751248
Lachnospiraceae	location	Punta Espinoza	0.115047953917901	0.0356570153913738	68	68	0.00196365685082	0.013126967751248
Oscillospiraceae	location	Punta Espinoza	0.258647944023524	0.0834473857598866	68	68	0.00286377936023266	0.0143188968011633
Anaerovoracaceae	location	Cabo Douglas	-0.407721754331814	0.142211663392242	68	68	0.0120815344736654	0.0483261378946617
Anaerovoracaceae	location	Punta Espinoza	-0.314279108593763	0.128331699293674	68	68	0.0216976189329935	0.0666561545089424
Bacteroidaceae	location	Cabo Douglas	0.447258610862193	0.193147673626019	68	68	0.0237443628322471	0.0666561545089424
Caloramatoraceae	location	Punta Espinoza	-0.198504186271723	0.0875257847412018	68	68	0.026662461803577	0.0666561545089424
Bacillaceae	location	Punta Espinoza	0.158885003040162	0.0768827004202383	68	68	0.0427611400958576	0.087329714411576
Clostridiaceae	location	Cabo Douglas	-0.106928575069835	0.0519729592046549	68	68	0.043664857205788	0.087329714411576
Oscillospiraceae	location	Cabo Douglas	0.137750551936275	0.0834473857598866	68	68	0.10361428357214	0.188389606494799
Lachnospiraceae	location	Cabo Douglas	0.0468981289602638	0.0356570153913738	68	68	0.193044597850229	0.321740996417049
Peptostreptococcaceae	location	Punta Espinoza	-0.0342148612461963	0.0284699553141277	68	68	0.23380586168151	0.359701325663861
Ruminococcaceae	location	Punta Espinoza	0.122007398999772	0.0574069338044031	68	68	0.310265778666752	0.443236826666788
Bacillaceae	location	Cabo Douglas	0.0547874245766522	0.0768827004202383	68	68	0.47863713048502	0.638182840646693
Family.XI	location	Cabo Douglas	-0.0506807090448954	0.0805531885345692	68	68	0.531450464572884	0.664313080716105
Family.XI	location	Punta Espinoza	-0.0458552864078122	0.0805531885345692	68	68	0.571145234228624	0.671935569680735
Caloramatoraceae	location	Cabo Douglas	0.0404129892029937	0.0875257847412018	68	68	0.645818947511381	0.682492974489855
Ruminococcaceae	location	Cabo Douglas	0.0509244429484259	0.0586798216474473	68	68	0.648368325765362	0.682492974489855
Peptostreptococcaceae	location	Cabo Douglas	0.00106253813500677	0.0284699553141277	68	68	0.970343141619151	0.970343141619151
