feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroidaceae	location	Punta Espinoza	0.697425401883717	0.193147673626019	68	68	0.000594525613400529	0.0118905122680106
Clostridiaceae	location	Punta Espinoza	-0.167644249391893	0.0519729592046549	68	68	0.00196904516268719	0.013126967751248
Lachnospiraceae	location	Punta Espinoza	0.115047953917901	0.0356570153913738	68	68	0.00196365685082	0.013126967751248
Oscillospiraceae	location	Punta Espinoza	0.258647944023524	0.0834473857598866	68	68	0.00286377936023266	0.0143188968011633
Anaerovoracaceae	location	Cabo Douglas	-0.407721754331814	0.142211663392242	68	68	0.0120815344736654	0.0483261378946617
Anaerovoracaceae	location	Punta Espinoza	-0.314279108593763	0.128331699293674	68	68	0.0216976189329935	0.0666561545089424
Bacteroidaceae	location	Cabo Douglas	0.447258610862193	0.193147673626019	68	68	0.0237443628322471	0.0666561545089424
Caloramatoraceae	location	Punta Espinoza	-0.198504186271723	0.0875257847412018	68	68	0.026662461803577	0.0666561545089424
Bacillaceae	location	Punta Espinoza	0.158885003040162	0.0768827004202383	68	68	0.0427611400958576	0.087329714411576
Clostridiaceae	location	Cabo Douglas	-0.106928575069835	0.0519729592046549	68	68	0.043664857205788	0.087329714411576
Oscillospiraceae	location	Cabo Douglas	0.137750551936275	0.0834473857598866	68	68	0.10361428357214	0.188389606494799
