feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridium.sensu.stricto.12	location	Punta Espinoza	-0.226726251783965	0.0524473865957649	68	68	5.39896494055488e-05	0.00220308560692612
Fonticella	location	Punta Espinoza	-0.228073159984752	0.053734288723932	68	68	7.10672776427782e-05	0.00220308560692612
Clostridium.sensu.stricto.12	location	Rabida	0.30664717814798	0.0808268510875152	68	68	0.000327890320238714	0.00677639995160008
Intestinibacter	location	Punta Espinoza	-0.131005010017084	0.0400600679496268	68	68	0.00172097798655523	0.0266751587916061
Clostridium.sensu.stricto.11	location	Rabida	0.231096063226183	0.0735133281507183	68	68	0.00251491405537066	0.0311849342865962
Clostridium.sensu.stricto.13	location	Rabida	0.183098184846428	0.0616836822789697	68	68	0.00418850229770023	0.0370981632082021
Lachnospiraceae.UCG.001	location	Punta Espinoza	-0.127006381815224	0.0422475377837533	68	68	0.00375664071903232	0.0370981632082021
Roseburia	location	Punta Espinoza	-0.120718239623632	0.0416866913220899	68	68	0.00514545705688389	0.0398772921908502
Clostridium.sensu.stricto.18	location	Punta Espinoza	-0.251130775259676	0.07925884561135	68	68	0.00793098511360012	0.0491721077043208
Blautia	location	Punta Espinoza	-0.0860749698785771	0.0313025728628829	68	68	0.0077146691793318	0.0491721077043208
Clostridium.sensu.stricto.18	location	Rabida	0.42107386121661	0.124788514408884	68	68	0.0125389638509193	0.0706741598869997
Lachnoclostridium	location	Punta Espinoza	-0.0882599758771402	0.036237919448178	68	68	0.0176198596427286	0.0728287531899449
Clostridium.sensu.stricto.2	location	Punta Espinoza	-0.101980038100635	0.0417297149533807	68	68	0.0172557840072203	0.0728287531899449
Sarcina	location	Punta Espinoza	-0.116535189374039	0.0395063209203126	68	68	0.0158822451336277	0.0728287531899449
Agathobacter	location	Punta Espinoza	-0.0975235865687619	0.0395370414608678	68	68	0.016284217229903	0.0728287531899449
Clostridium.sensu.stricto.13	location	Punta Espinoza	-0.0948573406062916	0.0400256583994916	68	68	0.0207701673607377	0.0804843985228584
Lachnospiraceae.UCG.008	location	Punta Espinoza	-0.115718015703961	0.0431874139853783	68	68	0.025668737897167	0.0936153970367269
Acetitomaculum	location	Rabida	-0.192914628088843	0.0776928135838747	68	68	0.0272218138855543	0.0937640256057983
Bacteroides	location	Punta Espinoza	0.249607369420427	0.117310550363421	68	68	0.0371557069888527	0.117202686862186
X.Eubacterium..ventriosum.group	location	Punta Espinoza	-0.104044598069985	0.0463036502481119	68	68	0.0378073183426407	0.117202686862186
Cellulosilyticum	location	Punta Espinoza	0.104541369272374	0.0453110376976798	68	68	0.043140668202748	0.12736768707478
X.Eubacterium..ruminantium.group	location	Punta Espinoza	-0.091079881504565	0.043810736250669	68	68	0.0474522686430162	0.133729120721228
Bacteroides	location	Rabida	-0.344471180836649	0.180787699839067	68	68	0.0611542601624355	0.157981838752958
Lachnoclostridium	location	Rabida	-0.106423292690896	0.0558463845212026	68	68	0.0611208403463098	0.157981838752958
X.Eubacterium..ruminantium.group	location	Rabida	-0.13725702775938	0.0748725021220423	68	68	0.0908213387053108	0.225236919989171
