feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridium.sensu.stricto.12	location	Rabida	0.533373429931946	0.0808268510875152	68	68	8.8132506984001e-09	5.46421543300806e-07
Clostridium.sensu.stricto.13	location	Rabida	0.27795552545272	0.0616836822789697	68	68	2.81636397446899e-05	0.000873072832085388
Clostridium.sensu.stricto.12	location	Cabo Douglas	0.226726251783967	0.052447386595765	68	68	5.39896494055217e-05	0.00110154280346377
Fonticella	location	Cabo Douglas	0.228073159984754	0.053734288723932	68	68	7.10672776428239e-05	0.00110154280346377
Clostridium.sensu.stricto.18	location	Rabida	0.672204636475858	0.121894544631367	68	68	0.00014734577766139	0.00182708764300123
Bacteroides	location	Rabida	-0.594078550257076	0.180787699839067	68	68	0.0016401896495177	0.0152429478809134
Intestinibacter	location	Cabo Douglas	0.131005010017085	0.0400600679496268	68	68	0.00172097798655474	0.0152429478809134
Lachnospiraceae.UCG.001	location	Cabo Douglas	0.127006381815224	0.0422475377837533	68	68	0.00375664071903232	0.0291139655725005
Roseburia	location	Cabo Douglas	0.120718239623633	0.0416866913220899	68	68	0.00514545705687346	0.0354464819473505
Clostridium.sensu.stricto.18	location	Cabo Douglas	0.251130775259866	0.0792588456114925	68	68	0.00793098510951068	0.0447019160717875
Blautia	location	Cabo Douglas	0.0860749698785782	0.0313025728628829	68	68	0.00771466917933282	0.0447019160717875
Lachnoclostridium	location	Cabo Douglas	0.0882599758771371	0.036237919448178	68	68	0.0176198596427321	0.064260664579376
Clostridium.sensu.stricto.2	location	Cabo Douglas	0.101980038100632	0.0417297149533807	68	68	0.017255784007201	0.064260664579376
Sarcina	location	Cabo Douglas	0.116535189366539	0.0395063209221938	68	68	0.0158822451094179	0.064260664579376
Sarcina	location	Rabida	0.174215978559342	0.0607518668963788	68	68	0.0175229363145654	0.064260664579376
Agathobacter	location	Cabo Douglas	0.0975235865687579	0.0395370414608678	68	68	0.0162842172299072	0.064260664579376
Clostridium.sensu.stricto.11	location	Rabida	0.180615050277375	0.0735133281507183	68	68	0.0166926489470662	0.064260664579376
Clostridium.sensu.stricto.13	location	Cabo Douglas	0.0948573406062923	0.0400256583994916	68	68	0.0207701673607368	0.0679187704605251
Fonticella	location	Rabida	0.196182751548751	0.0828101004623462	68	68	0.0208138167540319	0.0679187704605251
Clostridium.sensu.stricto.1	location	Rabida	0.131209198814119	0.0559446937318715	68	68	0.0220728903007872	0.0684259599324405
Lachnospiraceae.UCG.008	location	Cabo Douglas	0.115718015703754	0.0431874139866531	68	68	0.0256687379330693	0.0757838929452523
Bacteroides	location	Cabo Douglas	-0.249607369420426	0.117310550363421	68	68	0.0371557069887959	0.10191537987246
X.Eubacterium..ventriosum.group	location	Cabo Douglas	0.104044598069987	0.0463036502481173	68	68	0.0378073183397836	0.10191537987246
Cellulosilyticum	location	Cabo Douglas	-0.104541369266013	0.0453110376996534	68	68	0.0431406680270533	0.111446725736554
X.Eubacterium..ruminantium.group	location	Cabo Douglas	0.0910798815023952	0.0438107362514129	68	68	0.0474522686496141	0.113155409856772
Acetitomaculum	location	Rabida	-0.149301059559019	0.0710573752509563	68	68	0.0470840848848285	0.113155409856772
Cellulosilyticum	location	Rabida	-0.135722915406309	0.0697246660890052	68	68	0.0768493948866442	0.176468980850813
Intestinibacter	location	Rabida	0.109017201640787	0.061736710957142	68	68	0.0821186528317629	0.181834159841761
