feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridium.sensu.stricto.12	location	Punta Espinoza	-0.533373429931942	0.0808268510875152	68	68	8.81325069847586e-09	5.46421543305503e-07
Clostridium.sensu.stricto.13	location	Punta Espinoza	-0.277955525452718	0.0616836822789696	68	68	2.81636397449218e-05	0.000873072832092577
Clostridium.sensu.stricto.18	location	Punta Espinoza	-0.672204636484596	0.121894544626785	68	68	0.000147345777570887	0.00304514606979832
Clostridium.sensu.stricto.12	location	Cabo Douglas	-0.306647178147976	0.0808268510875152	68	68	0.000327890320239478	0.00508229996371191
Bacteroides	location	Punta Espinoza	0.594078550257077	0.180787699839067	68	68	0.00164018964950921	0.0203383516539142
Clostridium.sensu.stricto.11	location	Cabo Douglas	-0.231096063226178	0.0735133281507183	68	68	0.00251491405538059	0.0259874452389327
Clostridium.sensu.stricto.13	location	Cabo Douglas	-0.183098184846426	0.0616836822789696	68	68	0.00418850229770069	0.0370981632082061
Clostridium.sensu.stricto.18	location	Cabo Douglas	-0.421073861228465	0.124788514402752	68	68	0.012538963840305	0.0971769697623639
Sarcina	location	Punta Espinoza	-0.174215978559681	0.0607518668951302	68	68	0.0175229362088532	0.10864220449489
Clostridium.sensu.stricto.11	location	Punta Espinoza	-0.18061505027737	0.0735133281507183	68	68	0.0166926489471214	0.10864220449489
Clostridium.sensu.stricto.1	location	Punta Espinoza	-0.131209198814118	0.0559446937318715	68	68	0.0220728903007837	0.114043266554049
Fonticella	location	Punta Espinoza	-0.196182751548746	0.0828101004623461	68	68	0.0208138167540073	0.114043266554049
Acetitomaculum	location	Cabo Douglas	0.192914628082097	0.0776928135815931	68	68	0.0272218138842987	0.129827112371271
Acetitomaculum	location	Punta Espinoza	0.149301059562303	0.0710573752517249	68	68	0.0470840848817283	0.208515233047654
Bacteroides	location	Cabo Douglas	0.344471180836651	0.180787699839067	68	68	0.0611542601623798	0.236972758129222
Lachnoclostridium	location	Cabo Douglas	0.106423292690889	0.0558463845212026	68	68	0.0611208403463268	0.236972758129222
Cellulosilyticum	location	Punta Espinoza	0.135722915406331	0.0697246660889315	68	68	0.0768493947236706	0.280274263109857
Intestinibacter	location	Punta Espinoza	-0.109017201640784	0.061736710957142	68	68	0.082118652831743	0.282853137531559
X.Eubacterium..ruminantium.group	location	Cabo Douglas	0.137257027761503	0.0748725021234881	68	68	0.0908213387007559	0.29636436839194
Lachnospiraceae.UCG.008	location	Cabo Douglas	0.130270050892616	0.0676986983063598	68	68	0.11378259596866	0.352726047502847
uncultured	location	Cabo Douglas	0.10105796743047	0.0652885598137919	68	68	0.126509894437606	0.358237381962529
X.Eubacterium..xylanophilum.group	location	Cabo Douglas	0.0943196538117043	0.0610344440471221	68	68	0.127116490373801	0.358237381962529
Clostridium.sensu.stricto.1	location	Cabo Douglas	-0.0844689238466266	0.0559446937318715	68	68	0.135924051006728	0.366403963583355
Paraclostridium	location	Punta Espinoza	-0.103720530690752	0.0707249810212103	68	68	0.147324671376151	0.38058873438839
Anaerosporobacter	location	Punta Espinoza	-0.214194021146381	0.150134146486252	68	68	0.172484857819384	0.427762447392073
Roseburia	location	Punta Espinoza	-0.081361473760235	0.0642435059308341	68	68	0.209870138137125	0.464712448732205
X.Ruminococcus..torques.group	location	Punta Espinoza	0.077706062991191	0.0604297129088343	68	68	0.203042944785131	0.464712448732205
Blautia	location	Cabo Douglas	0.0618261946319749	0.048240504621228	68	68	0.204527525434985	0.464712448732205
Lachnospiraceae.UCG.001	location	Punta Espinoza	-0.0801800578579424	0.0651078283762825	68	68	0.222574242766191	0.475848381086339
X.Ruminococcus..torques.group	location	Cabo Douglas	0.0689642882413432	0.0604297129088343	68	68	0.257960765316493	0.515921530632985
Agathobacter	location	Cabo Douglas	0.0698096711300169	0.0609306730043346	68	68	0.256110525725524	0.515921530632985
X.Eubacterium..xylanophilum.group	location	Punta Espinoza	0.0613892103847171	0.0610344440471221	68	68	0.318235453674192	0.616581191493747
Lachnospiraceae.NC2004.group	location	Cabo Douglas	0.0889483646624716	0.0924329038572562	68	68	0.339464278306654	0.635781843800802
Clostridium.sensu.stricto.2	location	Punta Espinoza	-0.0564379234986174	0.0643098097996309	68	68	0.383396211121943	0.635781843800802
Sarcina	location	Cabo Douglas	-0.0576807891898349	0.0615923695126468	68	68	0.389672742974685	0.635781843800802
Hespellia	location	Punta Espinoza	0.117749119635022	0.134213195954849	68	68	0.383539226092207	0.635781843800802
Epulopiscium	location	Punta Espinoza	-0.0525018033412388	0.055887808402555	68	68	0.37401013736629	0.635781843800802
