feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridium.sensu.stricto.12	location	Punta Espinoza	-0.533373429931942	0.0808268510875152	68	68	8.81325069847586e-09	5.46421543305503e-07
Clostridium.sensu.stricto.13	location	Punta Espinoza	-0.277955525452718	0.0616836822789696	68	68	2.81636397449218e-05	0.000873072832092577
Clostridium.sensu.stricto.18	location	Punta Espinoza	-0.672204636484596	0.121894544626785	68	68	0.000147345777570887	0.00304514606979832
Clostridium.sensu.stricto.12	location	Cabo Douglas	-0.306647178147976	0.0808268510875152	68	68	0.000327890320239478	0.00508229996371191
Bacteroides	location	Punta Espinoza	0.594078550257077	0.180787699839067	68	68	0.00164018964950921	0.0203383516539142
Clostridium.sensu.stricto.11	location	Cabo Douglas	-0.231096063226178	0.0735133281507183	68	68	0.00251491405538059	0.0259874452389327
Clostridium.sensu.stricto.13	location	Cabo Douglas	-0.183098184846426	0.0616836822789696	68	68	0.00418850229770069	0.0370981632082061
Clostridium.sensu.stricto.18	location	Cabo Douglas	-0.421073861228465	0.124788514402752	68	68	0.012538963840305	0.0971769697623639
Sarcina	location	Punta Espinoza	-0.174215978559681	0.0607518668951302	68	68	0.0175229362088532	0.10864220449489
Clostridium.sensu.stricto.11	location	Punta Espinoza	-0.18061505027737	0.0735133281507183	68	68	0.0166926489471214	0.10864220449489
Clostridium.sensu.stricto.1	location	Punta Espinoza	-0.131209198814118	0.0559446937318715	68	68	0.0220728903007837	0.114043266554049
Fonticella	location	Punta Espinoza	-0.196182751548746	0.0828101004623461	68	68	0.0208138167540073	0.114043266554049
Acetitomaculum	location	Cabo Douglas	0.192914628082097	0.0776928135815931	68	68	0.0272218138842987	0.129827112371271
Acetitomaculum	location	Punta Espinoza	0.149301059562303	0.0710573752517249	68	68	0.0470840848817283	0.208515233047654
Bacteroides	location	Cabo Douglas	0.344471180836651	0.180787699839067	68	68	0.0611542601623798	0.236972758129222
Lachnoclostridium	location	Cabo Douglas	0.106423292690889	0.0558463845212026	68	68	0.0611208403463268	0.236972758129222
