feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Caloramatoraceae	location	Cabo Douglas	0.238917175474716	0.0567942287452119	68	68	8.10430335786377e-05	0.00162086067157275
Bacteroidaceae	location	Rabida	-0.697425401883723	0.193147673626019	68	68	0.000594525613400489	0.00594525613400489
Clostridiaceae	location	Rabida	0.167644249391889	0.051972959204655	68	68	0.00196904516268851	0.00984522581344252
Lachnospiraceae	location	Rabida	-0.115047953917901	0.0356570153913738	68	68	0.00196365685081999	0.00984522581344252
Oscillospiraceae	location	Rabida	-0.258647944023526	0.0834473857598866	68	68	0.00286377936023165	0.0114551174409266
Lachnospiraceae	location	Cabo Douglas	-0.0681498249576372	0.0231373268402805	68	68	0.00447119238689374	0.0149039746229791
Anaerovoracaceae	location	Rabida	0.314279108594631	0.128331699293806	68	68	0.0216976189319217	0.0619931969483477
Caloramatoraceae	location	Rabida	0.198504186271719	0.0875257847412019	68	68	0.026662461803578	0.0644829785342824
Oscillospiraceae	location	Cabo Douglas	-0.120897392087249	0.0541478140304631	68	68	0.0290173403404271	0.0644829785342824
Bacillaceae	location	Cabo Douglas	-0.104097578463511	0.0498880836901669	68	68	0.0408494139682467	0.0777475274470032
Bacillaceae	location	Rabida	-0.158885003040168	0.0768827004202383	68	68	0.0427611400958518	0.0777475274470032
Bacteroidaceae	location	Cabo Douglas	-0.250166791021525	0.125330760414854	68	68	0.0501209950785737	0.0835349917976228
Peptostreptococcaceae	location	Cabo Douglas	0.0352773993812031	0.0184737464423484	68	68	0.0606002516089153	0.0932311563214081
Clostridiaceae	location	Cabo Douglas	0.0607156743220569	0.0337245092102011	68	68	0.0764465896179227	0.10920941373989
Peptostreptococcaceae	location	Rabida	0.0342148612461964	0.0284699553141277	68	68	0.233805861681541	0.311741148908721
Anaerovoracaceae	location	Cabo Douglas	-0.0934426457384484	0.0814396674663934	68	68	0.260074397918387	0.325092997397983
Ruminococcaceae	location	Rabida	-0.122007399000696	0.0574069338036716	68	68	0.310265779967887	0.365018564668102
Ruminococcaceae	location	Cabo Douglas	-0.071082956049293	0.03733110165146	68	68	0.329010032298703	0.365566702554115
Family.XI	location	Rabida	0.0458552864078058	0.0805531885345693	68	68	0.571145234228645	0.601205509714363
Family.XI	location	Cabo Douglas	-0.00482542263708456	0.0522698108827683	68	68	0.926729660128896	0.926729660128896
