feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Caloramatoraceae	location	Cabo Douglas	0.238917175474716	0.0567942287452119	68	68	8.10430335786377e-05	0.00162086067157275
Bacteroidaceae	location	Rabida	-0.697425401883723	0.193147673626019	68	68	0.000594525613400489	0.00594525613400489
Clostridiaceae	location	Rabida	0.167644249391889	0.051972959204655	68	68	0.00196904516268851	0.00984522581344252
Lachnospiraceae	location	Rabida	-0.115047953917901	0.0356570153913738	68	68	0.00196365685081999	0.00984522581344252
Oscillospiraceae	location	Rabida	-0.258647944023526	0.0834473857598866	68	68	0.00286377936023165	0.0114551174409266
Lachnospiraceae	location	Cabo Douglas	-0.0681498249576372	0.0231373268402805	68	68	0.00447119238689374	0.0149039746229791
Anaerovoracaceae	location	Rabida	0.314279108594631	0.128331699293806	68	68	0.0216976189319217	0.0619931969483477
Caloramatoraceae	location	Rabida	0.198504186271719	0.0875257847412019	68	68	0.026662461803578	0.0644829785342824
Oscillospiraceae	location	Cabo Douglas	-0.120897392087249	0.0541478140304631	68	68	0.0290173403404271	0.0644829785342824
Bacillaceae	location	Cabo Douglas	-0.104097578463511	0.0498880836901669	68	68	0.0408494139682467	0.0777475274470032
Bacillaceae	location	Rabida	-0.158885003040168	0.0768827004202383	68	68	0.0427611400958518	0.0777475274470032
Bacteroidaceae	location	Cabo Douglas	-0.250166791021525	0.125330760414854	68	68	0.0501209950785737	0.0835349917976228
Peptostreptococcaceae	location	Cabo Douglas	0.0352773993812031	0.0184737464423484	68	68	0.0606002516089153	0.0932311563214081
Clostridiaceae	location	Cabo Douglas	0.0607156743220569	0.0337245092102011	68	68	0.0764465896179227	0.10920941373989
