sequence_id,sample_id,DNA_ext_date,Qubit ng.ul,Nanodrop ng.ul,260/280,260/230,pellet_mg,location,island,species,scientific_name,country,pielou_evenness,faith_pd,observed_features,shannon_entropy,bray_PC1_17.32,bray_PC2_14.55,bray_PC3_6.85,wu_PC1_17.21,wu_PC2_8.74,wu_PC3_6.55
CD02_S104_L001,CD02,1/1/21,4.18,6.8,1.52,0.51,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.561532621,24.95539665,56,3.261019232,-0.0100359,0.09134144,0.10303632,0.063947481,-0.04463602,-0.028868553
CD04_S75_L001,CD04,1/1/21,14.9,25.6,1.64,0.83,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.600534065,27.71924964,65,3.616637023,-0.0968038,0.01781656,-0.030354,0.06631451,0.10136449,0.017386906
CD06_S174_L001,CD06,1/1/21,11.6,15.6,1.97,0.05,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.567718912,22.35175426,53,3.251848771,0.06230468,0.12334058,0.00111676,-0.078442459,0.054753137,-0.098340049
CD07_S243_L001,CD07,1/1/21,3.82,6.6,1.85,0.16,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.629655884,29.58998703,71,3.872224457,-0.0559801,-0.003736,-0.0248406,0.049770068,0.021911791,0.053175333
CD09_S252_L001,CD09,1/1/21,7.54,10.6,1.97,0.06,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.591505555,18.78645145,46,3.267217579,-0.1296631,0.02318118,0.01947654,0.124755437,0.092302552,0.0012057
CD10_S46_L001,CD10,1/1/21,6.76,12.5,1.73,0.66,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.577516637,29.72837772,75,3.597246421,0.04486576,-0.0572857,-0.0039771,-0.083240561,0.020805871,0.030647295
CD11_S165_L001,CD11,1/1/21,5.66,7.1,1.95,0.1,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.587415371,20.55104505,47,3.262850871,-0.2093846,0.22441919,-0.0650327,0.191606855,0.17010161,-0.073764598
CD12_S134_L001,CD12,1/2/21,1.06,5.4,1,0.42,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.642735856,27.12281123,65,3.870791729,-0.0897201,-0.0369928,-0.1815249,-0.007992945,0.152240187,0.140863737
CD13_S157_L001,CD13,1/1/21,25.4,27.9,1.86,0.31,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.574573689,23.45388896,54,3.306606939,-0.0758122,-0.2144723,-0.0097643,-0.016195251,0.016119886,0.054151478
CD15_S56_L001,CD15,1/2/21,18.4,34.6,1.63,0.81,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.607038176,25.18342203,60,3.585708094,-0.0401223,-0.0618753,0.00857344,0.007303184,0.024626782,0.032900053
CD16_S84_L001,CD16,1/2/21,4.28,5.3,1.61,0.44,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.612620236,29.94587439,73,3.792011783,-0.0361377,0.06721616,0.01755257,0.059605445,0.007951488,-0.02393978
CD18_S82_L001,CD18,1/2/21,15.6,18.2,2.03,0.21,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.587036731,24.38090147,54,3.378330344,0.07919682,-0.1715414,0.06143442,-0.099613504,-0.067540427,0.053687943
CD19_S36_L001,CD19,1/2/21,5.18,11.2,1.39,0.58,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.586792324,35.37790914,74,3.643659573,0.19853963,0.02415538,0.00044481,-0.282592929,-0.063905663,0.01365239
CD21_S208_L001,CD21,1/2/21,11.4,6.1,2.11,0.88,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.642589564,21.21566038,46,3.549383268,-0.0462324,-0.107248,0.03333381,0.03987501,-0.028315283,0.054382381
CD24_S182_L001,CD24,1/2/21,4.18,55,1.55,0.62,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.579070206,28.40036512,69,3.537264515,-0.114452,-0.0024938,0.02728543,0.101711082,0.066649784,0.009286829
CD25_S151_L001,CD25,1/2/21,5.32,24.2,1.64,0.2,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.614134932,27.84007966,69,3.751458254,-0.0171949,-0.0262108,0.03857298,0.024247076,-0.022350456,0.0506589
CD27_S197_L001,CD27,1/2/21,24.8,27.1,1.75,1.08,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.56095482,26.67820857,66,3.390632013,-0.1442496,0.13615805,-0.007829,0.126793115,0.150404373,-0.041721686
CD31_S139_L001,CD31,1/2/21,3.36,42.8,1.55,0.38,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.671175048,32.42638506,68,4.085753166,-0.1197309,-0.3056363,0.04011648,0.175445259,-0.162643302,0.33414244
CD32_S253_L001,CD32,1/2/21,5.1,5.3,2.02,0.67,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.596493147,20.91570914,48,3.331391856,-0.0454713,-0.1156529,0.05974227,0.068181046,-0.050384105,0.030991835
CD33_S23_L001,CD33,1/2/21,24.4,31.5,1.7,0.16,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.566400887,27.1232566,63,3.385536651,-0.1509759,0.02704404,0.24030799,0.257818153,-0.162254145,-0.02104962
CD34_S120_L001,CD34,1/2/21,10.3,22.2,1.48,0.58,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.552399401,29.16882526,70,3.38581227,-0.2390566,-0.0612275,-0.0438645,0.219575138,0.121937356,0.015960866
CD37_S69_L001,CD37,1/2/21,2.16,22.2,1.47,0.26,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.581726424,28.78689383,64,3.490358541,-0.174999,-0.0503394,0.13204879,0.247399457,-0.112519524,0.046718332
CD38_S119_L001,CD38,1/2/21,14.7,26.5,1.7,0.15,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.595093029,21.74211947,50,3.358619477,0.01058965,-0.1555293,0.01916308,-0.029760976,-0.009861993,0.03952585
CD40_S237_L001,CD40,1/2/21,1.95,26.3,1.49,0.42,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.577504456,19.23238148,46,3.18988164,-0.1949784,0.01682868,0.01665083,0.184179803,0.102892734,-0.013693848
CD42_S79_L001,CD42,1/2/21,2.76,39.8,1.49,0.39,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.604261102,23.31237804,50,3.41036276,0.04384362,0.1911791,0.08993239,0.091677819,-0.13354413,-0.064437082
CD43_S221_L001,CD43,1/2/21,2.88,41,1.47,0.63,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.623298556,20.99676639,45,3.423064103,0.17198014,-0.060177,-0.0333856,-0.203632604,-0.021015848,-0.01908826
CD44_S17_L001,CD44,1/2/21,7.24,31.8,1.6,0.06,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.660865504,14.81134459,34,3.362128696,-0.1180644,-0.1866747,-0.0391591,0.071893346,0.024208855,0.06392575
CD49_S129_L001,CD49,1/2/21,11.7,13.8,1.6,0.84,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.60556826,19.90243398,43,3.285973705,-0.1134323,0.16300487,0.16467531,0.262792278,-0.131141414,-0.179484664
CD52_S32_L001,CD52,1/2/21,12.7,30.8,1.62,0.9,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.616803366,28.30631604,61,3.658098751,-0.0339789,-0.1077221,-0.0249494,-0.050457242,0.013698893,0.070418853
CD56_S167_L001,CD56,1/2/21,3.5,6.2,1.4,0.25,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.604283365,31.35411563,80,3.820235985,0.02089618,0.03251196,0.03909581,0.03305979,-0.047740041,-0.021475495
R01_S87_L001,R01,1/4/21,2.26,0.9,0.93,0.31,22.2,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,0.561981313,25.33426055,62,3.346147058,-0.2098843,0.01213577,0.03165041,0.221292319,0.05444831,-0.04207336
R02_S156_L001,R02,1/4/21,10,10.9,1.87,0.8,31.1,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,0.658983641,22.16687497,47,3.660383183,-0.1163041,-0.1278435,-0.0894926,-0.017831058,0.046760389,0.06431758
R03_S39_L001,R03,1/4/21,7.48,7.5,2.57,0.13,17.9,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,0.601692815,23.36546977,48,3.360431806,-0.0422387,-0.0531871,0.08883692,0.077954971,-0.068141608,-0.008501449
R04_S132_L001,R04,1/4/21,10,11.2,1.97,1.62,18.8,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,0.607703965,16.61768198,37,3.165805466,0.02978112,0.18431574,0.15515686,0.137026878,-0.136125932,-0.15967602
R05_S158_L001,R05,1/4/21,2.88,4.7,1.8,0.14,20.7,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,0.671759597,23.90386738,57,3.918299847,0.00131268,0.1008119,-0.043576,0.10051248,-0.050039676,-0.041606826
R06_S110_L001,R06,1/4/21,<0.5,1.4,1.55,0.1,4.7,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,0.647556518,22.14809371,53,3.709152225,-0.0925048,0.02211221,0.01462164,0.089565753,0.003472828,-0.02017206
R07_S144_L001,R07,1/4/21,8.8,1.09,17.1,1.6,0.36,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,0.648675441,21.25131915,47,3.603125371,-0.1042229,-0.0823217,-0.1081356,0.012756111,0.113402963,0.038648066
R08_S232_L001,R08,1/4/21,1.75,2.1,2.1,0.33,17.3,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,0.652298838,15.04362922,39,3.447661728,-0.1196911,-0.0446466,0.08908413,0.155294261,-0.059258224,-0.015079125
