sequence_id,sample_id,DNA_ext_date,Qubit ng.ul,Nanodrop ng.ul,260/280,260/230,pellet_mg,location,island,species,scientific_name,country,pielou_evenness,faith_pd,observed_features,shannon_entropy,bray_PC1_17.32,bray_PC2_14.55,bray_PC3_6.85,wu_PC1_17.21,wu_PC2_8.74,wu_PC3_6.55
PE04_S98_L001,PE04,1/2/21,13.7,18.7,1.6,1.49,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.566354273,35.5932547,80,3.580450988,0.13855441,-0.0160975,-0.0220355,-0.155314963,0.025299143,-0.033309977
PE06_S155_L001,PE06,1/2/21,1.57,3.2,1.13,0.05,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.621625299,30.36387514,62,3.701279065,0.11897113,0.00744396,0.00074953,-0.13782696,-0.017937102,-0.025455355
PE08_S153_L001,PE08,1/2/21,1.48,5.2,1.14,0.32,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.639266315,30.41471965,70,3.918244167,-0.1966723,0.13201366,-0.3215823,0.065858836,0.312526939,0.014763205
PE09_S6_L001,PE09,1/2/21,2.28,19.5,1.51,0.14,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.620869193,35.95702625,73,3.843071378,0.03941045,-0.0805144,-0.0167406,-0.034708155,-0.032865831,0.023788306
PE10_S259_L001,PE10,1/2/21,2.92,37.4,1.5,0.5,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.582979422,27.86953847,71,3.585176024,0.17903431,0.00952368,-0.0671906,-0.197814477,0.006964063,-0.048782333
PE13_S3_L001,PE13,1/2/21,3.38,8,1.55,0.49,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.616771033,40.09956901,94,4.042680538,-0.0573707,0.10345754,0.1016244,0.135812865,-0.078011241,0.034288367
PE19_S34_L001,PE19,1/3/21,1.59,2.8,3.43,0.24,22.7,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.582957479,30.48457485,73,3.608404523,0.18758195,0.01101439,-0.0702688,-0.230375084,-0.013413602,-0.010590134
PE23_S145_L001,PE23,1/2/21,13.8,17.1,1.66,0.68,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.595536771,25.12722771,58,3.488643084,0.0823555,-0.0105553,0.04228965,-0.017018184,-0.056922971,-0.037844301
PE25_S62_L001,PE25,1/2/21,20.8,45.3,1.69,0.74,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.617030678,24.96129466,52,3.517346182,0.16206012,-0.0142469,0.00826344,-0.11654481,-0.052765913,-0.044162476
PE26_S124_L001,PE26,1/3/21,1.08,1.9,3.07,0.01,22.9,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,0.636844591,41.12205475,102,4.249297986,0.03525631,0.03565993,0.04930723,0.02723344,-0.090797423,0.059016935
