OTU_ID	CD02	CD04	CD06	CD07	CD09	CD10	CD11	CD12	CD13	CD15	CD16	CD18	CD19	CD21	CD24	CD25	CD27	CD31	CD32	CD33	CD34	CD37	CD38	CD40	CD42	CD43	CD44	CD49	CD52	CD56	PE04	PE06	PE08	PE09	PE10	PE13	PE19	PE23	PE25	PE26	PE28	PE29	PE32	PE33	PE34	PE36	PE37	PE43	PE44	PE46	PE48	PE49	PE50	PE52	PE54	PE55	PE57	PE58	PE60	PE61	R01	R02	R03	R04	R05	R06	R07	R08
e22bef63416c7077d44457219635d355	5799	2184	6555	3861	3586	5634	2122	1170	2074	4194	4501	5200	6010	3163	2915	3608	1938	858	4742	2785	1543	1436	4019	2821	4970	3484	1525	2675	3943	4488	7146	6661	129	3838	7883	4581	6518	5880	5195	3932	4581	4549	5860	8482	1428	2797	4675	3068	4047	3904	3984	4207	3842	5823	8215	6548	3027	3318	5606	8176	2548	1228	6822	4292	1598	2321	1090	3546
9acb555d3c5dd77e9035a661e7ad1bb6	3870	3504	2424	5100	5333	5690	1970	1390	6241	4794	3942	6124	2659	5052	4575	3464	2266	5008	9733	5131	7078	6798	7094	6394	2049	1750	6149	4344	4842	4246	4102	3310	397	4099	2762	4452	2002	5810	3095	3203	1433	2561	3222	3426	1418	1965	2547	4461	877	1982	2319	4602	3929	2508	3637	4219	1288	1846	3751	4667	6811	5135	8913	1964	1806	2778	2321	6997
653d3123d98173d76f7937e6a409b759	6518	5901	7704	6863	8431	7373	8972	6239	6407	6822	8033	5097	5137	4783	6409	3998	6974	2422	8158	3005	8657	3733	7079	9135	3935	3881	6182	7401	6130	6375	7860	7539	7192	6274	8075	6409	5945	8439	5072	5067	5041	5133	7656	8831	11591	3531	8875	3663	3803	3864	6764	6348	6230	4755	7024	5789	3524	5068	11122	7747	8252	8127	8568	4745	4288	6292	5019	7175
9e30a8cd5497999ef72ebab2127cadb5	2414	1830	2666	4191	2271	2449	4639	2115	1375	2232	2806	1297	2495	1670	1956	1449	2109	1155	2470	1531	2124	1498	1378	2823	1993	966	1361	1907	2923	2086	1687	2215	3329	1572	1491	2450	1704	1930	1106	1529	987	1704	1979	3196	4216	437	2795	1180	1528	1546	3449	2296	2039	1419	2761	1414	1028	1009	2916	2823	2916	2428	2969	855	1967	1294	1222	2063
3e80a1c4fa1c52a13349f2a07ba8f34d	517	1409	2954	1319	963	3476	198	1045	1097	864	1744	2261	4715	859	864	449	493	665	1741	155	257	443	2910	384	44	2920	817	28	171	2440	3562	4270	249	1904	5825	1081	5018	4205	2969	1730	3972	3996	4709	3457	1159	1772	3442	1833	4068	1640	3331	2059	2259	2023	2448	4405	1453	2158	3607	6783	313	1144	54	85	2449	387	328	384
753e70edc1e6644f9cc8f363af768671	5105	1066	1708	1614	1651	648	3667	1220	156	1355	3289	277	337	808	1328	1075	1983	445	1483	3201	589	1803	826	1751	3278	426	433	9171	606	2068	449	2361	489	705	757	6129	482	2370	422	3320	400	1281	659	1728	832	325	2066	1374	433	1205	2230	3901	2892	2184	2752	1868	866	266	1897	1393	960	746	1904	4152	1687	2803	433	2019
abb76c574b475aa365291e60e0591ae1	901	498	806	1941	506	1457	389	972	2271	1504	1055	1604	1768	1384	430	761	547	1034	2087	266	721	245	2219	459	306	1635	1864	185	2403	1241	2368	2106	708	1354	2111	961	1869	1882	1395	947	1128	1531	1380	2037	336	559	1505	870	1462	957	1418	881	587	1050	1510	1280	868	829	1279	3396	430	1579	1469	317	854	852	1812	1098
11f6961a2ae6df3f53c7513396885213	407	63	78	601	38	767	13	2051	3893	1682	339	2235	38	1070	339	553	47	1649	1450	109	387	208	2128	68	81	1032	2641	18	3765	191	172	1378	138	2102	714	151	229	478	181	1002	404	654	2801	253	314	735	213	535	9	566	462	600	193	213	1619	1401	15	498	304	1963	53	7091	1706	150	99	2338	2241	1460
87e76e125b3690fabab85124a7d42a3d	683	556	620	1341	703	1009	2096	916	385	563	1096	420	800	627	346	721	459	365	753	546	1240	493	519	1090	889	417	779	707	990	1045	645	903	2692	1145	1308	1164	1299	937	694	608	525	1156	1010	1071	3915	761	637	411	712	646	988	562	732	626	985	680	392	951	1264	1383	1241	1691	998	618	1194	945	963	1375
73862f0e53acbd0a388cd99344ff66bd	447	635	321	1624	935	888	820	331	748	733	832	621	558	598	1240	398	486	470	804	670	482	280	616	487	249	400	644	1028	530	565	859	671	251	494	1334	858	1003	461	828	814	440	624	782	723	850	484	1452	342	809	509	748	777	695	652	802	723	263	864	720	1011	855	1349	695	226	637	453	396	515
2cac53b021d7555f3190977c95bb9725	371	765	2723	962	1056	427	1674	88	65	449	1193	156	387	316	545	260	1097	98	741	1988	1033	444	248	829	117	42	295	2951	180	1193	158	233	231	91	121	953	34	114	103	279	42	119	167	139	146	40	640	130	359	205	804	998	332	134	280	259	647	89	632	182	4482	1226	1398	1961	1471	1351	611	2491
90d914c3852b88610d7b3809d5330c5f	36	350	480	496	0	34	74	326	931	567	1259	384	233	264	0	24	130	362	853	69	26	42	692	32	993	787	821	1983	928	1880	1534	795	739	1938	1431	71	618	3838	2253	1088	880	808	1357	1719	490	821	1497	1301	380	1077	542	447	2637	781	580	594	1559	146	1502	1937	133	422	1413	1579	1771	1188	694	693
78e330c19d0c0461704da8545a028330	340	261	234	808	410	464	390	385	284	469	577	264	385	284	434	307	245	187	349	287	882	228	342	376	433	343	377	69	380	514	479	494	711	577	566	523	339	274	380	585	370	354	443	414	958	301	379	192	295	204	384	283	425	150	328	153	229	287	720	701	578	889	752	40	623	368	399	347
c88d9c510cf6e7f31c034b52241fc19a	491	1025	454	950	829	962	626	969	711	728	1306	725	304	631	373	549	252	635	1031	658	869	673	859	801	198	426	916	190	1238	653	523	547	1620	645	710	1233	644	655	583	607	445	590	761	895	1124	524	1206	550	647	487	643	288	437	409	726	405	306	360	809	821	217	1311	358	289	767	621	346	428
27f098662c8f87b4aaff903d9c0f28d3	310	70	29	292	0	342	8	3950	23	18	6	11	51	97	38	41	61	48	32	9	96	428	54	34	10	28	0	5	400	174	431	101	99	36	90	0	209	288	55	300	164	340	505	276	541	663	302	65	133	121	12	34	19	173	156	371	0	17	207	429	237	574	0	0	0	274	0	0
0d4f19da7dfaf3d2ea591561ad80653b	15	15	0	349	0	32	0	195	27	276	24	117	14	164	9	264	0	0	0	7	41	7	46	26	1831	11	84	307	579	71	13	217	1023	170	93	410	31	68	0	794	76	121	241	68	608	43	73	39	82	166	213	376	684	243	379	139	27	56	416	151	24	0	326	39	397	27	0	367
2c982937754e6321f861027032db80f7	76	80	27	179	42	14	0	149	56	120	405	260	1435	129	100	59	171	15	17	43	27	119	31	157	54	23	0	1349	173	275	189	424	140	68	266	1026	288	204	58	303	49	213	219	76	87	173	113	107	135	88	235	70	188	518	233	59	22	41	170	626	114	39	55	23	30	68	0	0
cbe95a8bfdf047e034c2121588d6d033	167	106	199	215	293	82	344	379	94	110	146	42	135	109	126	116	154	46	188	96	99	51	77	195	165	82	95	120	108	183	142	146	147	83	153	265	76	82	75	143	44	123	84	132	129	21	103	43	97	101	178	114	253	138	99	94	73	46	194	221	149	136	125	115	118	82	45	60
6c50cfabaf2d81ca1729276924620d45	37	120	0	61	61	72	102	396	60	151	226	82	0	198	135	134	63	135	174	103	418	61	107	144	0	33	270	391	106	89	55	146	577	54	36	150	71	119	37	110	30	213	86	52	509	68	196	72	28	75	72	138	74	80	117	106	0	93	129	133	320	170	109	51	42	80	73	169
3b010dbd9eae72a79f11af5d24eb3ca3	0	284	3	169	135	369	109	113	49	71	13	25	0	17	4	545	28	215	5	21	41	51	81	0	52	0	0	0	87	313	22	0	688	244	206	1286	98	18	29	836	267	235	109	604	200	176	146	22	79	7	3	22	229	7	10	0	32	17	16	3	0	130	0	0	0	53	264	0
1a88b974f6209178e371b2eaf5d5f6ad	28	35	0	47	59	56	119	204	42	47	101	115	0	138	117	93	36	92	75	21	177	0	90	40	41	22	122	42	95	0	44	126	667	162	233	101	104	70	55	40	34	79	187	135	531	204	97	32	0	65	70	134	48	0	162	55	89	57	77	197	22	292	30	50	54	101	57	65
503f92642a6a8a8fb5936ba9e8cde803	76	43	0	201	144	49	149	100	18	49	69	0	0	82	86	39	68	53	75	130	353	55	26	229	38	14	63	210	51	31	56	24	70	28	74	97	63	19	39	37	23	81	60	130	234	44	36	0	29	39	53	45	32	11	59	51	0	84	20	60	81	213	69	22	111	70	61	105
e5a537dba56ef35b2a4de5b2e3785fca	4	0	0	14	0	15	0	264	0	0	3	0	1902	0	0	0	8	0	0	0	0	440	0	0	0	8	0	0	50	12	63	37	232	88	5	188	60	91	8	332	21	36	52	27	71	144	25	14	31	10	0	0	11	35	0	0	0	0	26	344	0	0	96	0	0	0	0	0
8730d47067d979434ab3853db54017fa	81	26	26	226	8	238	10	35	0	0	188	16	768	37	51	7	23	6	6	17	0	69	0	25	0	32	5	102	25	85	16	95	13	18	0	15	144	14	0	21	31	9	128	108	27	76	39	170	26	24	132	12	0	64	46	15	0	0	35	240	9	40	22	29	19	67	0	0
e329eb8de457b265002c312481aebb28	29	40	38	96	4	54	22	28	37	60	182	12	0	36	211	28	24	8	17	24	138	36	22	81	22	0	29	74	18	48	0	44	498	29	70	211	83	71	0	108	27	40	0	32	43	24	135	98	61	20	58	31	72	25	24	39	18	37	107	30	60	16	36	20	33	46	14	35
1ce4898f124e8fffe68db10b2a467699	33	30	12	35	21	27	20	34	47	41	40	37	44	24	8	19	73	13	59	36	12	30	69	19	16	8	13	0	61	17	34	137	11	67	24	66	50	13	40	132	0	15	34	104	12	9	31	20	40	21	51	44	44	66	8	17	8	9	20	183	98	243	39	0	65	190	0	32
9661c408d03849548f118a5d7eddd146	0	11	8	28	0	68	70	0	10	21	22	0	120	0	0	88	12	13	6	0	0	0	0	145	0	7	0	0	0	22	34	183	0	282	62	0	0	0	96	40	4	8	178	49	0	25	10	0	48	63	88	40	195	47	87	13	21	0	43	40	76	42	39	0	152	27	29	66
30d32705c2a41002453e50c2bc97320d	23	286	14	70	104	62	39	78	14	94	55	0	27	0	107	36	0	0	31	0	127	0	10	86	16	4	0	0	0	65	0	0	0	0	64	13	49	23	38	86	24	146	0	59	73	13	312	21	77	15	73	102	0	16	15	45	8	163	86	96	0	0	0	0	0	0	0	0
16a5ebc4c9e53bec6ca09c12d344bed4	0	14	0	31	14	12	33	9	0	22	43	0	21	0	41	0	11	0	0	7	0	8	10	35	43	0	8	53	0	10	0	30	569	7	27	307	0	0	0	96	0	19	9	0	0	0	26	0	20	0	10	0	45	14	0	21	18	0	51	17	38	0	35	4	0	16	0	26
0e46b111281412394d7ba9fb4f42534c	39	37	0	105	65	177	61	43	0	28	53	0	22	0	0	26	9	0	0	7	59	55	0	77	12	13	0	0	0	26	58	24	81	22	108	63	126	18	40	59	15	52	39	77	30	30	69	12	26	12	12	7	0	5	20	0	8	16	67	49	39	0	0	0	0	0	0	0
d3cefb30982e5e300cc75329d0e848e5	0	18	0	28	37	34	0	0	0	0	0	0	0	19	0	0	0	0	0	0	37	0	0	29	0	0	0	0	0	0	62	25	46	0	25	19	35	18	120	41	12	61	21	0	56	29	91	0	120	31	158	20	47	5	11	165	0	5	6	46	0	0	0	0	95	0	0	0
cca64b9fa329ada9fd59c2ebdc04812d	24	36	34	36	65	14	36	0	17	49	59	17	16	19	59	51	31	13	50	43	178	2	11	26	25	0	25	3	25	66	5	0	15	0	22	54	5	0	23	12	2	6	22	5	17	10	10	0	12	6	17	0	3	11	0	0	3	8	3	0	45	32	22	0	30	4	17	11
39d0925481ceb02ab88e04062025cad4	0	19	52	44	28	62	0	32	63	22	43	39	0	24	0	0	0	12	0	0	21	11	13	0	0	0	20	5	34	19	0	0	36	24	0	25	16	0	0	26	0	20	23	19	0	17	39	16	0	12	0	18	28	23	21	8	11	0	21	18	69	157	18	0	27	40	29	30
6fb11fe55c8144627ab0a972cd6f7306	21	8	0	27	0	61	0	12	11	21	21	19	14	0	0	28	19	0	8	8	7	20	18	3	0	0	7	0	26	25	0	72	11	24	39	21	27	5	0	44	5	9	57	20	7	20	31	23	26	11	22	14	8	32	6	18	15	3	0	49	38	62	22	0	26	27	5	22
945184b6386c192c0066e0a98a154780	0	0	0	0	0	0	0	0	0	0	0	0	3	5	43	0	0	1215	0	0	0	0	0	12	0	0	0	0	0	0	0	0	7	0	4	43	28	0	0	53	4	0	0	5	5	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
2917b5d0bf4224a174fce9059d751290	0	0	3	0	0	0	0	0	0	3	0	0	30	0	33	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	70	0	0	126	142	0	43	0	97	0	0	6	186	52	0	183	15	0	9	35	0	0	0	0	51	13	3	0	0	0	0	0	0	0	4	0	3	0
13a84719b2f85dce93abd7516fcf99ad	15	12	19	0	3	64	13	26	56	23	102	70	0	18	129	37	0	19	22	0	38	53	0	54	0	0	0	5	0	5	0	18	0	0	25	0	20	7	0	0	15	0	0	0	0	6	0	36	45	0	0	17	0	0	0	0	0	0	13	28	0	0	0	0	0	0	0	0
ee8089aa168d0a68f89e2f9ab82b3261	0	17	0	9	0	23	16	19	4	8	0	5	20	0	0	24	11	3	13	0	63	28	0	0	16	0	0	0	0	19	21	0	0	67	73	192	23	0	24	25	0	0	78	10	0	18	30	0	14	0	0	3	0	0	12	0	10	0	0	6	26	44	0	0	12	22	0	0
8b549d5d23d37f33bce66ddaa48abdba	0	0	8	0	0	0	0	92	14	0	18	23	17	0	15	74	38	27	47	0	0	0	22	6	0	27	0	0	0	0	0	0	0	0	15	0	48	153	0	0	23	0	19	206	0	0	0	0	6	0	0	0	0	0	0	0	8	4	33	50	0	0	0	7	0	58	0	59
0c6d3938243936046e636192b40ed43c	37	0	4	77	0	0	0	0	23	11	108	38	0	5	0	40	4	39	9	7	2	72	0	0	7	18	0	0	29	34	52	0	0	19	0	0	0	28	15	58	29	41	16	0	0	25	0	23	3	64	0	12	82	7	52	2	0	0	0	114	0	7	0	0	0	0	0	0
d738777a24581f111f8fa362c149b44d	6	19	37	37	10	22	60	0	0	0	101	0	11	0	8	14	0	0	6	0	0	0	0	0	0	0	0	0	0	20	51	0	0	23	77	0	51	6	104	0	0	0	14	0	0	13	180	0	12	32	24	0	0	0	6	0	0	0	0	0	0	0	0	0	10	0	0	0
4879a70e5bf4a288afa4e6d7ef7022e5	0	13	38	15	9	17	0	21	0	0	0	0	24	0	33	10	17	0	0	25	10	21	0	0	17	0	0	26	0	84	0	19	43	0	9	135	19	0	0	21	0	9	15	0	0	0	33	0	5	0	42	0	25	0	16	0	13	0	0	16	24	6	13	20	33	17	0	21
4d12c5a1cbff1cbfb066dd943bb512ec	9	16	19	0	0	33	0	6	14	22	20	21	51	20	9	0	9	0	0	0	9	0	22	0	0	0	4	3	18	10	5	14	0	20	29	4	23	5	0	12	0	8	33	0	6	12	26	8	33	0	22	11	0	15	21	0	0	0	0	82	24	47	25	9	31	37	0	0
2ccbd952934337451d2df534760b4c21	11	0	2	0	0	18	0	17	0	10	0	3	0	0	0	10	44	0	5	0	9	12	9	0	0	11	0	0	5	52	224	23	0	0	0	6	0	0	9	8	14	66	47	20	20	50	4	29	0	0	5	0	5	0	14	0	0	0	0	7	0	0	0	0	3	7	0	0
7e97382baa29c97232ac1f9ecb44cfa1	0	0	0	21	0	4	0	19	19	26	7	22	0	0	8	0	0	12	7	0	13	0	17	0	0	0	4	3	31	0	31	46	13	31	17	25	0	12	0	11	7	0	50	22	16	10	32	0	0	0	19	17	16	0	12	18	5	0	11	25	0	56	0	0	0	28	9	0
a804ceca12f7e18aaf66c1d688c0675b	9	9	0	8	5	14	0	14	0	0	9	7	14	0	0	4	23	0	0	15	0	39	0	0	4	0	0	18	9	0	0	113	11	19	10	19	36	17	8	17	0	0	39	0	5	4	11	54	28	11	26	0	0	27	9	8	5	0	6	61	0	0	0	0	7	0	0	0
516a7025b707b2fcf797cf48efecc8c3	0	4	0	18	0	30	0	5	0	0	24	0	0	10	41	14	0	3	3	0	24	39	0	0	23	0	17	0	4	51	2	0	42	13	23	67	14	0	0	78	5	9	13	0	0	7	13	0	0	0	0	0	2	11	0	11	0	4	13	8	64	9	22	0	4	0	0	0
90d54b08f736c3dc3f9f1d59d4c5ecf1	9	0	4	6	0	13	0	0	0	0	11	0	0	0	15	0	61	11	0	8	0	22	0	0	0	0	6	6	0	0	0	43	0	0	38	0	46	9	0	0	99	19	0	0	0	166	0	5	7	0	0	0	0	0	0	0	4	0	0	0	48	23	0	0	29	18	0	0
f2016d67e700bbd4f6e65c790cf0882c	6	0	0	29	0	11	0	5	11	13	0	0	2	0	13	22	5	0	10	0	5	22	0	0	16	7	3	0	14	27	0	20	0	0	0	92	10	14	4	55	32	28	0	0	24	27	9	66	10	20	0	12	0	0	59	0	0	0	0	15	0	0	0	0	0	0	0	0
