OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
e22bef63416c7077d44457219635d355	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Cellulosilyticum	
9acb555d3c5dd77e9035a661e7ad1bb6	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto_1	
653d3123d98173d76f7937e6a409b759	Bacteria	 Firmicutes	 Clostridia	 Peptostreptococcales-Tissierellales	 Peptostreptococcaceae	 Terrisporobacter	
9e30a8cd5497999ef72ebab2127cadb5	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae		
3e80a1c4fa1c52a13349f2a07ba8f34d	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Cellulosilyticum	 uncultured_bacterium
753e70edc1e6644f9cc8f363af768671	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto_1	
abb76c574b475aa365291e60e0591ae1	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae		
11f6961a2ae6df3f53c7513396885213	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Cellulosilyticum	 uncultured_bacterium
87e76e125b3690fabab85124a7d42a3d	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto_13	
73862f0e53acbd0a388cd99344ff66bd	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Cellulosilyticum	 bacterium_PS7
2cac53b021d7555f3190977c95bb9725	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Caloramatoraceae	 Fonticella	
90d914c3852b88610d7b3809d5330c5f	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto_1	
78e330c19d0c0461704da8545a028330	Bacteria	 Firmicutes	 Clostridia	 Peptostreptococcales-Tissierellales	 Sedimentibacteraceae	 Sedimentibacter	 uncultured_Clostridia
c88d9c510cf6e7f31c034b52241fc19a	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae		
27f098662c8f87b4aaff903d9c0f28d3	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae	 Bilophila	
0d4f19da7dfaf3d2ea591561ad80653b	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto_1	
2c982937754e6321f861027032db80f7	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	
cbe95a8bfdf047e034c2121588d6d033	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto_2	 uncultured_Clostridiaceae
6c50cfabaf2d81ca1729276924620d45	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae		
3b010dbd9eae72a79f11af5d24eb3ca3	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Akkermansia	
1a88b974f6209178e371b2eaf5d5f6ad	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto_1	
503f92642a6a8a8fb5936ba9e8cde803	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Cellulosilyticum	 uncultured_bacterium
e5a537dba56ef35b2a4de5b2e3785fca	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae		
8730d47067d979434ab3853db54017fa	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	
e329eb8de457b265002c312481aebb28	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae		
1ce4898f124e8fffe68db10b2a467699	Bacteria	 Firmicutes	 Bacilli	 Izemoplasmatales	 Izemoplasmatales	 Izemoplasmatales	 gut_metagenome
9661c408d03849548f118a5d7eddd146	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Sarcina	 uncultured_bacterium
30d32705c2a41002453e50c2bc97320d	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Cellulosilyticum	 uncultured_bacterium
16a5ebc4c9e53bec6ca09c12d344bed4	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae		
0e46b111281412394d7ba9fb4f42534c	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Ruminococcus	
d3cefb30982e5e300cc75329d0e848e5	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto_1	
cca64b9fa329ada9fd59c2ebdc04812d	Bacteria	 Firmicutes	 Desulfitobacteriia	 Desulfitobacteriales	 Desulfitobacteriaceae	 Desulfosporosinus	
39d0925481ceb02ab88e04062025cad4	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Ruminococcus	
6fb11fe55c8144627ab0a972cd6f7306	Bacteria	 Firmicutes	 Bacilli	 Izemoplasmatales	 Izemoplasmatales	 Izemoplasmatales	 uncultured_bacterium
945184b6386c192c0066e0a98a154780	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae		
2917b5d0bf4224a174fce9059d751290	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Cellulosilyticum	 uncultured_bacterium
13a84719b2f85dce93abd7516fcf99ad	Bacteria	 Firmicutes	 Clostridia	 Clostridia_UCG-014	 Clostridia_UCG-014	 Clostridia_UCG-014	
ee8089aa168d0a68f89e2f9ab82b3261	Bacteria	 Firmicutes	 Clostridia	 Peptostreptococcales-Tissierellales	 Sedimentibacteraceae	 Sedimentibacter	
8b549d5d23d37f33bce66ddaa48abdba	Bacteria	 Firmicutes	 Clostridia				
0c6d3938243936046e636192b40ed43c	Bacteria	 Firmicutes	 Clostridia	 Clostridia_UCG-014	 Clostridia_UCG-014	 Clostridia_UCG-014	
d738777a24581f111f8fa362c149b44d	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto_1	
4879a70e5bf4a288afa4e6d7ef7022e5	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae		
4d12c5a1cbff1cbfb066dd943bb512ec	Bacteria	 Firmicutes	 Bacilli	 Acholeplasmatales	 Acholeplasmataceae	 T2WK15B57	 uncultured_bacterium
2ccbd952934337451d2df534760b4c21	Bacteria	 Firmicutes	 Clostridia	 Clostridia_vadinBB60_group	 Clostridia_vadinBB60_group	 Clostridia_vadinBB60_group	 uncultured_organism
7e97382baa29c97232ac1f9ecb44cfa1	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 [Eubacterium]_coprostanoligenes_group	 [Eubacterium]_coprostanoligenes_group	 uncultured_bacterium
a804ceca12f7e18aaf66c1d688c0675b	Bacteria	 Firmicutes	 Bacilli	 Erysipelotrichales	 Erysipelatoclostridiaceae	 UCG-004	 uncultured_bacterium
516a7025b707b2fcf797cf48efecc8c3	Bacteria	 Firmicutes	 Bacilli	 Erysipelotrichales	 Erysipelotrichaceae		
90d54b08f736c3dc3f9f1d59d4c5ecf1	Bacteria	 Firmicutes	 Bacilli	 RF39	 RF39	 RF39	
f2016d67e700bbd4f6e65c790cf0882c	Bacteria	 Firmicutes	 Clostridia				
ea403646ed22d679fa4586263d8fc32f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	
9908fffab7ed4f3bec44cda2f5084d49	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	
f9ba0705d3a733ad1b0ae67374768396	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	
234e1d5f4e48c5e578d5fdea6d864fbf	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Oscillospiraceae	 NK4A214_group	
527b92b9bbfb692fef33a6c0a85e9caf	Bacteria	 Firmicutes	 Clostridia	 Clostridia_vadinBB60_group	 Clostridia_vadinBB60_group	 Clostridia_vadinBB60_group	
3ba335034275a72a271bc8b6c455c102	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales			
69c66832d5da88793b212add5b8ba262	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Alistipes	
46bad50a71f76820662c9aa32e14f1db	Bacteria	 Firmicutes	 Clostridia	 Oscillospirales	 Ruminococcaceae	 Pygmaiobacter	 Pygmaiobacter_massiliensis
