Source,Target,Correlation,Type
201,257,0.8978793171781967,undirected
532,35,0.7947725110003628,undirected
68,563,1,undirected
59,53,0.7503056733839903,undirected
59,54,0.9233680726503068,undirected
427,519,0.9999150214827245,undirected
407,404,0.7901580420599288,undirected
401,404,0.7807599327780481,undirected
212,322,1,undirected
528,309,1,undirected
35,321,0.9169116775606007,undirected
528,549,1,undirected
309,549,0.9999999999999999,undirected
68,84,0.8151281495763827,undirected
563,84,0.8151281495763826,undirected
427,489,0.9999150214827246,undirected
519,489,1,undirected
327,385,0.9796294495025483,undirected
32,366,1,undirected
11,18,0.7555148342626261,undirected
59,369,0.8164808203817755,undirected
101,362,0.9721900544784167,undirected
68,530,0.9999999999999999,undirected
563,530,1.0000000000000002,undirected
84,530,0.8151281495763826,undirected
112,529,0.9683589810204322,undirected
371,468,0.9965590314981695,undirected
528,343,0.9957274295598684,undirected
309,343,0.9957274295598686,undirected
549,343,0.9957274295598684,undirected
327,344,0.8758839370296365,undirected
385,344,0.879261496478586,undirected
168,367,0.9135330735897212,undirected
513,546,0.9461128530659756,undirected
427,507,0.9999150214827244,undirected
519,507,1,undirected
489,507,1,undirected
420,391,0.7730958663028837,undirected
387,391,0.75651805222448,undirected
387,394,0.9518461902281149,undirected
387,436,0.9132811513738833,undirected
394,436,0.8699302324986391,undirected
323,348,0.7530016589939389,undirected
224,522,0.9403153558219719,undirected
528,515,1,undirected
309,515,1,undirected
549,515,1,undirected
343,515,0.9957274295598685,undirected
235,152,0.989190019465551,undirected
301,87,0.7736303723625099,undirected
327,551,0.9458367584689903,undirected
385,551,0.9390614248842364,undirected
344,551,0.9162753060836576,undirected
381,416,0.7570295758786002,undirected
369,495,0.8882567295142199,undirected
341,278,1,undirected
381,552,0.7514834505601603,undirected
416,552,0.9352179930497996,undirected
513,535,0.9461128530659755,undirected
546,535,0.9999999999999998,undirected
427,540,0.9999150214827244,undirected
519,540,1,undirected
489,540,0.9999999999999999,undirected
507,540,0.9999999999999999,undirected
528,548,1,undirected
309,548,1,undirected
549,548,0.9999999999999998,undirected
343,548,0.9957274295598684,undirected
515,548,1.0000000000000002,undirected
327,64,0.9372311513057909,undirected
385,64,0.9295704554596554,undirected
344,64,0.9059863278671113,undirected
551,64,0.9910519797224525,undirected
323,60,0.8104253435983867,undirected
348,60,0.8253876248946546,undirected
427,461,0.9945276556132875,undirected
519,461,0.994662457611212,undirected
489,461,0.9946624576112117,undirected
507,461,0.9946624576112119,undirected
540,461,0.9946624576112119,undirected
427,486,0.9952338044537136,undirected
519,486,0.9953538615520159,undirected
489,486,0.9953538615520158,undirected
507,486,0.9953538615520159,undirected
540,486,0.9953538615520159,undirected
461,486,0.9896922049703203,undirected
101,178,0.8700420495393404,undirected
362,178,0.8564721126320672,undirected
528,182,0.9999999999999998,undirected
309,182,1,undirected
549,182,1,undirected
343,182,0.9957274295598685,undirected
515,182,1.0000000000000002,undirected
548,182,1,undirected
554,172,0.9235810093196763,undirected
11,184,0.8428834830603875,undirected
18,184,0.8962451768911632,undirected
528,186,0.9939484018938544,undirected
309,186,0.9939484018938545,undirected
549,186,0.9939484018938545,undirected
343,186,0.9894188480950655,undirected
515,186,0.9939484018938545,undirected
548,186,0.9939484018938545,undirected
182,186,0.9939484018938545,undirected
528,187,1,undirected
309,187,1,undirected
549,187,1,undirected
343,187,0.9957274295598684,undirected
515,187,1.0000000000000002,undirected
548,187,1.0000000000000002,undirected
182,187,1,undirected
186,187,0.9939484018938545,undirected
369,188,0.9114515115552464,undirected
495,188,0.8058086255812823,undirected
513,547,0.9461128530659756,undirected
546,547,1,undirected
535,547,1,undirected
427,458,0.9651550215326817,undirected
519,458,0.965410332649461,undirected
489,458,0.9654103326494609,undirected
507,458,0.965410332649461,undirected
540,458,0.965410332649461,undirected
461,458,0.9627297055259559,undirected
486,458,0.9597224282184762,undirected
348,216,0.8350030328741529,undirected
60,216,0.7783894016072785,undirected
513,350,0.9461128530659755,undirected
546,350,1,undirected
535,350,1,undirected
547,350,1.0000000000000002,undirected
323,221,0.8111777461197746,undirected
348,221,0.8359305630002682,undirected
60,221,0.9716333284863287,undirected
216,221,0.7763121450328103,undirected
528,487,1.0000000000000002,undirected
309,487,1,undirected
549,487,1,undirected
343,487,0.9957274295598685,undirected
515,487,1,undirected
548,487,1,undirected
182,487,1,undirected
186,487,0.9939484018938545,undirected
187,487,1,undirected
554,527,1,undirected
172,527,0.9235810093196765,undirected
427,537,0.9999150214827244,undirected
519,537,1,undirected
489,537,1.0000000000000002,undirected
507,537,1,undirected
540,537,0.9999999999999999,undirected
461,537,0.994662457611212,undirected
486,537,0.9953538615520158,undirected
458,537,0.9654103326494609,undirected
554,531,1,undirected
172,531,0.9235810093196765,undirected
527,531,1,undirected
546,399,0.7992521503280501,undirected
535,399,0.79925215032805,undirected
547,399,0.7992521503280502,undirected
350,399,0.7992521503280501,undirected
387,457,0.8965453508153105,undirected
394,457,0.8089164341379812,undirected
436,457,0.9150980764910175,undirected
554,553,1,undirected
172,553,0.9235810093196763,undirected
527,553,1,undirected
531,553,1,undirected
168,509,0.8402765489005708,undirected
367,509,0.906601128615199,undirected
387,446,0.8230441557113496,undirected
394,446,0.7858644949170445,undirected
436,446,0.8195757013254498,undirected
457,446,0.8391005595509937,undirected
327,148,0.8005319691559234,undirected
385,148,0.8032758820092192,undirected
344,148,0.7580695521108282,undirected
551,148,0.8392229338689187,undirected
64,148,0.8320839885197668,undirected
35,107,0.8849578762676904,undirected
321,107,0.8062480694788338,undirected
221,105,0.7592171624534769,undirected
323,111,0.8713747372666045,undirected
348,111,0.848313650932155,undirected
60,111,0.7564002869993488,undirected
216,111,0.818680155124469,undirected
323,136,0.7984085945360195,undirected
348,136,0.832860218401443,undirected
60,136,0.8547330287073415,undirected
216,136,0.8650178697204389,undirected
221,136,0.8820554442799964,undirected
111,136,0.8067904701974643,undirected
60,134,0.9299360350587849,undirected
221,134,0.8964831443099782,undirected
136,134,0.7800897910349551,undirected
60,139,0.8169442071460946,undirected
134,139,0.9626323208071597,undirected
336,115,0.8455640574120771,undirected
235,116,0.9831735464177221,undirected
152,116,0.9941995126734845,undirected
427,539,0.9999150214827244,undirected
519,539,1,undirected
489,539,0.9999999999999999,undirected
507,539,0.9999999999999999,undirected
540,539,1,undirected
461,539,0.9946624576112119,undirected
486,539,0.9953538615520159,undirected
458,539,0.965410332649461,undirected
537,539,0.9999999999999999,undirected
427,449,0.9956987525547388,undirected
519,449,0.9958186779817711,undirected
489,449,0.995818677981771,undirected
