Source,Target,Type
3627,3628,undirected
3200,3201,undirected
2232,2233,undirected
2232,2234,undirected
2233,2234,undirected
3461,3462,undirected
3200,1583,undirected
3589,3590,undirected
3589,3591,undirected
3590,3591,undirected
3555,3556,undirected
1611,1509,undirected
2677,2678,undirected
3521,3522,undirected
3627,1458,undirected
3628,1458,undirected
2232,1532,undirected
2233,1532,undirected
2234,1532,undirected
3200,3202,undirected
3201,3202,undirected
1583,3202,undirected
3282,1573,undirected
3002,1566,undirected
3002,3003,undirected
1566,3003,undirected
3589,3592,undirected
3590,3592,undirected
3591,3592,undirected
3589,1450,undirected
3590,1450,undirected
3591,1450,undirected
3592,1450,undirected
1609,1613,undirected
3555,1590,undirected
3556,1590,undirected
2232,2239,undirected
2233,2239,undirected
2234,2239,undirected
1532,2239,undirected
3627,3629,undirected
3628,3629,undirected
1458,3629,undirected
3361,3362,undirected
3521,3523,undirected
3522,3523,undirected
3200,3204,undirected
3201,3204,undirected
1583,3204,undirected
3202,3204,undirected
1609,1615,undirected
1613,1615,undirected
3589,1545,undirected
3590,1545,undirected
3591,1545,undirected
3592,1545,undirected
3521,1567,undirected
3522,1567,undirected
3523,1567,undirected
89,2914,undirected
48,2914,undirected
144,2914,undirected
362,2914,undirected
262,2914,undirected
1174,2914,undirected
400,2914,undirected
141,2914,undirected
904,2914,undirected
683,2914,undirected
2914,385,undirected
3461,3463,undirected
3462,3463,undirected
3200,3205,undirected
3202,3205,undirected
3204,3205,undirected
2914,127,undirected
3083,3085,undirected
1490,3445,undirected
3361,3363,undirected
3362,3363,undirected
3163,3164,undirected
2785,2787,undirected
2914,2,undirected
2232,2242,undirected
2233,2242,undirected
2234,2242,undirected
1532,2242,undirected
2239,2242,undirected
3589,3593,undirected
3590,3593,undirected
3591,3593,undirected
3592,3593,undirected
1450,3593,undirected
1545,3593,undirected
2914,77,undirected
1490,3446,undirected
3445,3446,undirected
91,1619,undirected
351,2595,undirected
814,2595,undirected
136,2595,undirected
68,2595,undirected
1242,2595,undirected
848,2595,undirected
462,2595,undirected
395,2595,undirected
467,2595,undirected
994,2595,undirected
86,2595,undirected
1409,2595,undirected
806,2595,undirected
1036,2595,undirected
236,2595,undirected
1205,3464,undirected
3200,3207,undirected
3201,3207,undirected
1583,3207,undirected
3202,3207,undirected
3204,3207,undirected
3205,3207,undirected
1609,1622,undirected
1613,1622,undirected
1615,1622,undirected
1490,3447,undirected
3445,3447,undirected
3446,3447,undirected
1588,3575,undirected
3461,3465,undirected
3462,3465,undirected
3463,3465,undirected
2595,430,undirected
2595,815,undirected
3435,3437,undirected
3200,3208,undirected
3202,3208,undirected
3204,3208,undirected
3207,3208,undirected
3002,3006,undirected
1566,3006,undirected
3003,3006,undirected
2914,427,undirected
2914,1157,undirected
3589,3594,undirected
3590,3594,undirected
3591,3594,undirected
3592,3594,undirected
1450,3594,undirected
1545,3594,undirected
3593,3594,undirected
2677,2685,undirected
2678,2685,undirected
3575,237,undirected
1609,1624,undirected
1613,1624,undirected
1615,1624,undirected
1622,1624,undirected
814,2597,undirected
136,2597,undirected
1000,2597,undirected
68,2597,undirected
1242,2597,undirected
681,2597,undirected
848,2597,undirected
462,2597,undirected
1100,2597,undirected
467,2597,undirected
994,2597,undirected
86,2597,undirected
806,2597,undirected
236,2597,undirected
2595,2597,undirected
430,2597,undirected
815,2597,undirected
3521,1557,undirected
3522,1557,undirected
3523,1557,undirected
3589,1519,undirected
3590,1519,undirected
3591,1519,undirected
3592,1519,undirected
3593,1519,undirected
3594,1519,undirected
3365,3366,undirected
2595,1209,undirected
2597,1209,undirected
1490,3448,undirected
3445,3448,undirected
3446,3448,undirected
3447,3448,undirected
2237,2255,undirected
3083,3087,undirected
3085,3087,undirected
2788,2789,undirected
3085,3088,undirected
3087,3088,undirected
2914,742,undirected
2232,2256,undirected
2233,2256,undirected
2234,2256,undirected
1532,2256,undirected
2239,2256,undirected
2242,2256,undirected
2788,2790,undirected
2789,2790,undirected
28,3615,undirected
1568,3165,undirected
1609,1626,undirected
1613,1626,undirected
1615,1626,undirected
1622,1626,undirected
1624,1626,undirected
3627,3630,undirected
3628,3630,undirected
1458,3630,undirected
3629,3630,undirected
3090,3167,undirected
1490,3449,undirected
3445,3449,undirected
3446,3449,undirected
3447,3449,undirected
3448,3449,undirected
3090,3091,undirected
3167,3091,undirected
2793,2794,undirected
3627,3631,undirected
3628,3631,undirected
1458,3631,undirected
3629,3631,undirected
3630,3631,undirected
3589,1592,undirected
3590,1592,undirected
3591,1592,undirected
3592,1592,undirected
3593,1592,undirected
3594,1592,undirected
1609,1627,undirected
1613,1627,undirected
1615,1627,undirected
1622,1627,undirected
1624,1627,undirected
1626,1627,undirected
215,1628,undirected
91,1628,undirected
1619,1628,undirected
3163,3168,undirected
3164,3168,undirected
3589,3595,undirected
3590,3595,undirected
3591,3595,undirected
3592,3595,undirected
1450,3595,undirected
1545,3595,undirected
3593,3595,undirected
3594,3595,undirected
1519,3595,undirected
1592,3595,undirected
2595,1161,undirected
2597,1161,undirected
1609,1630,undirected
1613,1630,undirected
1615,1630,undirected
1622,1630,undirected
1624,1630,undirected
1626,1630,undirected
1627,1630,undirected
3461,1564,undirected
3462,1564,undirected
3463,1564,undirected
3465,1564,undirected
2235,53,undirected
1609,1631,undirected
1613,1631,undirected
1615,1631,undirected
1622,1631,undirected
1624,1631,undirected
1626,1631,undirected
1627,1631,undirected
1630,1631,undirected
1609,1632,undirected
1613,1632,undirected
1615,1632,undirected
1622,1632,undirected
1624,1632,undirected
1626,1632,undirected
1627,1632,undirected
1630,1632,undirected
1631,1632,undirected
1609,1634,undirected
1613,1634,undirected
1615,1634,undirected
1622,1634,undirected
1624,1634,undirected
1626,1634,undirected
1627,1634,undirected
1630,1634,undirected
1631,1634,undirected
1632,1634,undirected
1607,1635,undirected
1608,1635,undirected
1609,1638,undirected
1613,1638,undirected
1615,1638,undirected
1622,1638,undirected
1624,1638,undirected
1626,1638,undirected
1627,1638,undirected
1630,1638,undirected
1631,1638,undirected
1632,1638,undirected
1634,1638,undirected
1609,1639,undirected
1613,1639,undirected
1615,1639,undirected
1622,1639,undirected
1624,1639,undirected
1626,1639,undirected
1627,1639,undirected
1630,1639,undirected
1631,1639,undirected
1632,1639,undirected
1634,1639,undirected
1638,1639,undirected
3084,575,undirected
3085,575,undirected
3087,575,undirected
2595,39,undirected
2597,39,undirected
351,2603,undirected
814,2603,undirected
136,2603,undirected
68,2603,undirected
1242,2603,undirected
848,2603,undirected
462,2603,undirected
395,2603,undirected
467,2603,undirected
994,2603,undirected
86,2603,undirected
1409,2603,undirected
806,2603,undirected
1036,2603,undirected
236,2603,undirected
2595,2603,undirected
430,2603,undirected
815,2603,undirected
2597,2603,undirected
1209,2603,undirected
1161,2603,undirected
39,2603,undirected
351,2604,undirected
814,2604,undirected
136,2604,undirected
68,2604,undirected
1242,2604,undirected
848,2604,undirected
462,2604,undirected
395,2604,undirected
467,2604,undirected
994,2604,undirected
86,2604,undirected
1409,2604,undirected
806,2604,undirected
1036,2604,undirected
236,2604,undirected
2595,2604,undirected
430,2604,undirected
815,2604,undirected
2597,2604,undirected
1209,2604,undirected
1161,2604,undirected
39,2604,undirected
2603,2604,undirected
351,2605,undirected
814,2605,undirected
136,2605,undirected
68,2605,undirected
1242,2605,undirected
848,2605,undirected
462,2605,undirected
395,2605,undirected
467,2605,undirected
994,2605,undirected
86,2605,undirected
1409,2605,undirected
806,2605,undirected
1036,2605,undirected
236,2605,undirected
2595,2605,undirected
430,2605,undirected
815,2605,undirected
2597,2605,undirected
1209,2605,undirected
1161,2605,undirected
39,2605,undirected
2603,2605,undirected
2604,2605,undirected
91,1640,undirected
1619,1640,undirected
1628,1640,undirected
1609,1641,undirected
1613,1641,undirected
1615,1641,undirected
1622,1641,undirected
1624,1641,undirected
1626,1641,undirected
1627,1641,undirected
1630,1641,undirected
1631,1641,undirected
1632,1641,undirected
1634,1641,undirected
1638,1641,undirected
1639,1641,undirected
1609,1643,undirected
1613,1643,undirected
1615,1643,undirected
1622,1643,undirected
1624,1643,undirected
1626,1643,undirected
1627,1643,undirected
1630,1643,undirected
1631,1643,undirected
1632,1643,undirected
1634,1643,undirected
1638,1643,undirected
1639,1643,undirected
1641,1643,undirected
918,3557,undirected
3464,3557,undirected
1609,1645,undirected
1613,1645,undirected
1615,1645,undirected
1622,1645,undirected
1624,1645,undirected
1626,1645,undirected
1627,1645,undirected
1630,1645,undirected
1631,1645,undirected
1632,1645,undirected
1634,1645,undirected
1638,1645,undirected
1639,1645,undirected
1641,1645,undirected
1643,1645,undirected
1609,1646,undirected
1613,1646,undirected
1615,1646,undirected
1622,1646,undirected
1624,1646,undirected
1626,1646,undirected
1627,1646,undirected
1630,1646,undirected
1631,1646,undirected
1632,1646,undirected
1634,1646,undirected
1638,1646,undirected
1639,1646,undirected
1641,1646,undirected
1643,1646,undirected
1645,1646,undirected
3002,3010,undirected
1566,3010,undirected
3003,3010,undirected
3006,3010,undirected
1621,1651,undirected
1609,1653,undirected
1613,1653,undirected
1615,1653,undirected
1622,1653,undirected
1624,1653,undirected
1626,1653,undirected
1627,1653,undirected
1630,1653,undirected
1631,1653,undirected
1632,1653,undirected
1634,1653,undirected
1638,1653,undirected
1639,1653,undirected
1641,1653,undirected
1643,1653,undirected
1645,1653,undirected
1646,1653,undirected
2595,864,undirected
2597,864,undirected
2603,864,undirected
2604,864,undirected
2605,864,undirected
1566,3011,undirected
3003,3011,undirected
3006,3011,undirected
3627,3632,undirected
3628,3632,undirected
1458,3632,undirected
3629,3632,undirected
3630,3632,undirected
3631,3632,undirected
3461,3466,undirected
3462,3466,undirected
3463,3466,undirected
3465,3466,undirected
1564,3466,undirected
2232,2261,undirected
2233,2261,undirected
2234,2261,undirected
1532,2261,undirected
2239,2261,undirected
2242,2261,undirected
2256,2261,undirected
2597,618,undirected
2595,1073,undirected
2603,1073,undirected
2604,1073,undirected
2605,1073,undirected
2914,32,undirected
1490,3450,undirected
3445,3450,undirected
3446,3450,undirected
3447,3450,undirected
3448,3450,undirected
3449,3450,undirected
1609,1654,undirected
1613,1654,undirected
1615,1654,undirected
1622,1654,undirected
1624,1654,undirected
1626,1654,undirected
1627,1654,undirected
1630,1654,undirected
1631,1654,undirected
1632,1654,undirected
1634,1654,undirected
1638,1654,undirected
1639,1654,undirected
1641,1654,undirected
1643,1654,undirected
1645,1654,undirected
1646,1654,undirected
1653,1654,undirected
2595,318,undirected
2597,318,undirected
2603,318,undirected
2604,318,undirected
2605,318,undirected
3461,1586,undirected
3462,1586,undirected
3463,1586,undirected
3465,1586,undirected
3466,1586,undirected
3083,366,undirected
3083,171,undirected
2677,2690,undirected
2678,2690,undirected
2685,2690,undirected
3521,1576,undirected
