Id,Label,timeset,type,superclass,class,gene,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
1609,ADEC,,ARG,multidrug,multidrug,ADEC,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1613,BACA,,ARG,bacitracin,bacitracin,BACA,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1615,BCRA,,ARG,bacitracin,bacitracin,BCRA,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1622,CDEA,,ARG,multidrug,multidrug,CDEA,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1624,CHLORAMPHENICOL_AND_FLORFENICOL_RESISTANCE,,ARG,phenicol,phenicol,CHLORAMPHENICOL_AND_FLORFENICOL_RESISTANCE,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1626,CLBB,,ARG,phenicol,phenicol,CLBB,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1627,clpC,,Virulence,Stress survival,Stress survival,clpC,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1630,COB(I)ALAMIN_ADENOLSYLTRANSFERASE,,ARG,unclassified,unclassified,COB(I)ALAMIN_ADENOLSYLTRANSFERASE,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1631,competence-comM,,MGE,competence,comM,competence-comM,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1632,competence-endA,,MGE,competence,endA,competence-endA,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1634,competence-NA:Keyword,,MGE,competence,NA:Keyword,competence-NA:Keyword,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1638,competence-oppD,,MGE,competence,oppD,competence-oppD,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1639,competence-oppF,,MGE,competence,oppF,competence-oppF,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1641,cps4J,,Virulence,Immune modulation,Immune modulation,cps4J,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1643,cps4L,,Virulence,Immune modulation,Immune modulation,cps4L,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1645,Crispr-cas1,,MGE,Crispr,cas1,Crispr-cas1,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1646,Crispr-cas2,,MGE,Crispr,cas2,Crispr-cas2,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1653,Crispr-NA:Keyword,,MGE,Crispr,NA:Keyword,Crispr-NA:Keyword,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
1654,CYSTATHIONINE_BETA-LYASE_PATB,,ARG,unclassified,unclassified,CYSTATHIONINE_BETA-LYASE_PATB,243,243,1,1,1,0.037657,0.064037,0.064037,16,0.000898,4,0.999694,29394,1
