Label,id,Type,Superclass,Class,Gene
Clostridium,1,Taxa,Clostridium,Clostridium,Clostridium
Bradyrhizobium,2,Taxa,Bradyrhizobium,Bradyrhizobium,Bradyrhizobium
Bacteroides,3,Taxa,Bacteroides,Bacteroides,Bacteroides
Romboutsia,4,Taxa,Romboutsia,Romboutsia,Romboutsia
Parabacteroides,5,Taxa,Parabacteroides,Parabacteroides,Parabacteroides
Vibrio,6,Taxa,Vibrio,Vibrio,Vibrio
Cellulosilyticum,7,Taxa,Cellulosilyticum,Cellulosilyticum,Cellulosilyticum
Alistipes,8,Taxa,Alistipes,Alistipes,Alistipes
Clostridioides,9,Taxa,Clostridioides,Clostridioides,Clostridioides
Akkermansia,10,Taxa,Akkermansia,Akkermansia,Akkermansia
Lachnoclostridium,11,Taxa,Lachnoclostridium,Lachnoclostridium,Lachnoclostridium
Desulfovibrio,12,Taxa,Desulfovibrio,Desulfovibrio,Desulfovibrio
Shewanella,13,Taxa,Shewanella,Shewanella,Shewanella
Klebsiella,14,Taxa,Klebsiella,Klebsiella,Klebsiella
Eggerthella,15,Taxa,Eggerthella,Eggerthella,Eggerthella
Paenibacillus,16,Taxa,Paenibacillus,Paenibacillus,Paenibacillus
Streptococcus,17,Taxa,Streptococcus,Streptococcus,Streptococcus
Salmonella,18,Taxa,Salmonella,Salmonella,Salmonella
Bacillus,19,Taxa,Bacillus,Bacillus,Bacillus
Paeniclostridium,20,Taxa,Paeniclostridium,Paeniclostridium,Paeniclostridium
Anaerocolumna,21,Taxa,Anaerocolumna,Anaerocolumna,Anaerocolumna
Escherichia,22,Taxa,Escherichia,Escherichia,Escherichia
Rhodopseudomonas,23,Taxa,Rhodopseudomonas,Rhodopseudomonas,Rhodopseudomonas
Enterococcus,24,Taxa,Enterococcus,Enterococcus,Enterococcus
Paraclostridium,25,Taxa,Paraclostridium,Paraclostridium,Paraclostridium
Kocuria,26,Taxa,Kocuria,Kocuria,Kocuria
Staphylococcus,27,Taxa,Staphylococcus,Staphylococcus,Staphylococcus
Butyricimonas,28,Taxa,Butyricimonas,Butyricimonas,Butyricimonas
Photobacterium,29,Taxa,Photobacterium,Photobacterium,Photobacterium
Rothia,30,Taxa,Rothia,Rothia,Rothia
Enterobacter,31,Taxa,Enterobacter,Enterobacter,Enterobacter
Cutibacterium,32,Taxa,Cutibacterium,Cutibacterium,Cutibacterium
Peptacetobacter,33,Taxa,Peptacetobacter,Peptacetobacter,Peptacetobacter
Pseudomonas,34,Taxa,Pseudomonas,Pseudomonas,Pseudomonas
Anaerostipes,35,Taxa,Anaerostipes,Anaerostipes,Anaerostipes
Bifidobacterium,36,Taxa,Bifidobacterium,Bifidobacterium,Bifidobacterium
Fusobacterium,37,Taxa,Fusobacterium,Fusobacterium,Fusobacterium
Blautia,38,Taxa,Blautia,Blautia,Blautia
Corynebacterium,39,Taxa,Corynebacterium,Corynebacterium,Corynebacterium
Lactobacillus,40,Taxa,Lactobacillus,Lactobacillus,Lactobacillus
Streptomyces,41,Taxa,Streptomyces,Streptomyces,Streptomyces
Xanthomonas,42,Taxa,Xanthomonas,Xanthomonas,Xanthomonas
Phocaeicola,43,Taxa,Phocaeicola,Phocaeicola,Phocaeicola
Erysipelatoclostridium,44,Taxa,Erysipelatoclostridium,Erysipelatoclostridium,Erysipelatoclostridium
Acinetobacter,45,Taxa,Acinetobacter,Acinetobacter,Acinetobacter
Roseburia,46,Taxa,Roseburia,Roseburia,Roseburia
Tardiphaga,47,Taxa,Tardiphaga,Tardiphaga,Tardiphaga
Afipia,48,Taxa,Afipia,Afipia,Afipia
Butyrivibrio,49,Taxa,Butyrivibrio,Butyrivibrio,Butyrivibrio
Ruthenibacterium,50,Taxa,Ruthenibacterium,Ruthenibacterium,Ruthenibacterium
Pasteurella,51,Taxa,Pasteurella,Pasteurella,Pasteurella
Hungateiclostridium,52,Taxa,Hungateiclostridium,Hungateiclostridium,Hungateiclostridium
Comamonas,53,Taxa,Comamonas,Comamonas,Comamonas
Hathewaya,54,Taxa,Hathewaya,Hathewaya,Hathewaya
Caloramator,55,Taxa,Caloramator,Caloramator,Caloramator
Campylobacter,56,Taxa,Campylobacter,Campylobacter,Campylobacter
Desulfosporosinus,57,Taxa,Desulfosporosinus,Desulfosporosinus,Desulfosporosinus
Herbinix,58,Taxa,Herbinix,Herbinix,Herbinix
Mycoplasma,59,Taxa,Mycoplasma,Mycoplasma,Mycoplasma
Anaerobutyricum,60,Taxa,Anaerobutyricum,Anaerobutyricum,Anaerobutyricum
Arcobacter,61,Taxa,Arcobacter,Arcobacter,Arcobacter
