location	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Rabida	Rabida	Rabida	Rabida	Rabida	Rabida	Rabida	Rabida
sample_id	CD02	CD04	CD06	CD07	CD09	CD10	CD11	CD12	CD13	CD15	CD16	CD18	CD19	CD21	CD24	CD25	CD27	CD31	CD32	CD33	CD34	CD37	CD38	CD40	CD42	CD43	CD44	CD49	CD52	CD56	PE04	PE06	PE08	PE09	PE10	PE13	PE19	PE23	PE25	PE26	PE28	PE29	PE32	PE33	PE34	PE36	PE37	PE43	PE44	PE46	PE48	PE49	PE50	PE52	PE54	PE55	PE57	PE58	PE60	PE61	R01	R02	R03	R04	R05	R06	R07	R08
Aminoglycoside|aacC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aacA/aphD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.35E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(6)-II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aphA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.87E-05	0
Aminoglycoside|sat4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(6)-Ib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aadA2	0	0	0	0	0	0	0	0	0	0	0	2.96E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aadA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aph(2)-Id	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
