feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Fluoroquinolone	location	Punta Espinoza	1.07329426090194	0.260537231253491	68	31	0.000109524000047224	0.00240952800103892
Tetracycline	location	Punta Espinoza	-0.412540228397639	0.134026209840655	68	64	0.00304975781985582	0.033547336018414
Aminoglycoside	location	Rabida	-0.429300341195016	0.174189338504664	68	67	0.0163705810172777	0.120050927460037
Amphenicol	location	Punta Espinoza	-0.523015934474565	0.216567436147386	68	58	0.0293955254598607	0.129340312023387
Vancomycin	location	Punta Espinoza	-0.572402435440379	0.249683238604527	68	50	0.0281889956268851	0.129340312023387
Sulfonamide	location	Punta Espinoza	0.409764684077472	0.215318313309111	68	31	0.0614624741462856	0.225362405203047
MDR	location	Rabida	0.491313206634411	0.275306565890969	68	64	0.0789921343011847	0.248260993518009
MGEs	location	Punta Espinoza	-0.250237441634637	0.162975432787088	68	66	0.151718629617468	0.417226231448037
Amphenicol	location	Rabida	-0.460534797891429	0.358172467267607	68	58	0.242246912412409	0.502235587121496
Fluoroquinolone	location	Rabida	0.443008310826826	0.401514839158447	68	31	0.273946683884452	0.502235587121496
MLSB	location	Punta Espinoza	-0.270788033983171	0.239469970125415	68	47	0.262302477002421	0.502235587121496
Tetracycline	location	Rabida	0.259021464188782	0.206548261176648	68	64	0.214315808550216	0.502235587121496
Other	location	Rabida	0.310134745586522	0.307933247967987	68	56	0.317597668788944	0.53747297795052
MLSB	location	Rabida	-0.332536077172356	0.369048009282918	68	47	0.370880593601275	0.582812361373433
Beta.Lactam	location	Rabida	0.242626293200756	0.295484647100497	68	45	0.414583344076116	0.608055571311637
MGEs	location	Rabida	-0.201747420838831	0.256678790520067	68	66	0.460426140906293	0.61442863155674
Sulfonamide	location	Rabida	-0.238547393877463	0.331827806414586	68	31	0.47478576074839	0.61442863155674
Other	location	Punta Espinoza	-0.115144290279644	0.199813476395114	68	56	0.566430325985471	0.69230373176002
Aminoglycoside	location	Punta Espinoza	0.0379703952128993	0.113028968152216	68	67	0.738001820200648	0.773144764019726
Beta.Lactam	location	Punta Espinoza	-0.0809951981430628	0.191735757499858	68	45	0.674104308859385	0.773144764019726
Vancomycin	location	Rabida	-0.146994303754709	0.432301646805396	68	50	0.73793894893346	0.773144764019726
MDR	location	Punta Espinoza	0.00648426300349215	0.178642489461852	68	64	0.971156444016623	0.971156444016623
