feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Fluoroquinolone	location	Cabo Douglas	-1.07329426090193	0.260537231253491	68	31	0.00010952400004714	0.00240952800103709
Tetracycline	location	Rabida	0.671561692586421	0.206548261176648	68	64	0.00182203560984986	0.0200423917083485
Tetracycline	location	Cabo Douglas	0.41254022839764	0.134026209840655	68	64	0.00304975781985575	0.0223648906789421
Aminoglycoside	location	Rabida	-0.467270736407916	0.174189338504664	68	67	0.0092545285577975	0.0508999070678862
Amphenicol	location	Cabo Douglas	0.523015934473566	0.216567436147815	68	58	0.0293955254641921	0.107783593368704
Vancomycin	location	Cabo Douglas	0.572402435438304	0.249683238604192	68	50	0.0281889956253821	0.107783593368704
Sulfonamide	location	Cabo Douglas	-0.409764684077478	0.215318313309111	68	31	0.0614624741462818	0.169021803902275
Sulfonamide	location	Rabida	-0.648312077954938	0.331827806414586	68	31	0.0550353903148519	0.169021803902275
MDR	location	Rabida	0.484828943630917	0.275306565890969	68	64	0.0829329982377885	0.202725106803483
Fluoroquinolone	location	Rabida	-0.630285950075107	0.401514839158447	68	31	0.12132425202005	0.266913354444109
MGEs	location	Cabo Douglas	0.250237442464798	0.162975433180054	68	66	0.151718628961843	0.303437257923686
Other	location	Rabida	0.425279035866166	0.307933247967987	68	56	0.171985628340388	0.315306985290712
Beta.Lactam	location	Rabida	0.323621491343815	0.295484647100497	68	45	0.277460746966848	0.421954855966729
MLSB	location	Cabo Douglas	0.270788033983179	0.239469970125415	68	47	0.262302477002408	0.421954855966729
Vancomycin	location	Rabida	0.425408131684473	0.392567998748728	68	50	0.287696492704588	0.421954855966729
Other	location	Cabo Douglas	0.115144290279644	0.199813476395114	68	56	0.566430325985471	0.778841698230023
Beta.Lactam	location	Cabo Douglas	0.0809951981430564	0.191735757499858	68	45	0.674104308859407	0.87237028205335
Aminoglycoside	location	Cabo Douglas	-0.0379703952128997	0.113028968152216	68	67	0.738001820200649	0.902002224689682
Amphenicol	location	Rabida	0.0624811365866567	0.336347599092214	68	58	0.855866442430249	0.908956197970071
MGEs	location	Rabida	0.0484900219902221	0.250650534382614	68	66	0.850142834795929	0.908956197970071
MLSB	location	Rabida	-0.061748043189181	0.369048009282918	68	47	0.86764000715325	0.908956197970071
MDR	location	Cabo Douglas	-0.00648426300349415	0.178642489461852	68	64	0.971156444016613	0.971156444016613
