feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Tetracycline	location	Punta Espinoza	-0.671561692586419	0.206548261176648	68	64	0.00182203560985146	0.0400847834167321
Aminoglycoside	location	Punta Espinoza	0.467270736407914	0.174189338504664	68	67	0.00925452855779033	0.101799814135694
Aminoglycoside	location	Cabo Douglas	0.429300341195015	0.174189338504664	68	67	0.016370581017278	0.120050927460039
Sulfonamide	location	Punta Espinoza	0.648312077954923	0.331827806414586	68	31	0.055035390314856	0.302694646731708
MDR	location	Cabo Douglas	-0.491313206634415	0.275306565890969	68	64	0.0789921343011738	0.304087660205186
MDR	location	Punta Espinoza	-0.484828943630922	0.275306565890969	68	64	0.0829329982377779	0.304087660205186
Fluoroquinolone	location	Punta Espinoza	0.630285950075122	0.401514839158447	68	31	0.121324252019997	0.381304792062849
Other	location	Punta Espinoza	-0.425279035866166	0.307933247967987	68	56	0.171985628340389	0.472960477936069
Amphenicol	location	Cabo Douglas	0.46053479789139	0.358172467267617	68	58	0.242246912415402	0.486870987651612
Beta.Lactam	location	Punta Espinoza	-0.32362149134383	0.295484647100497	68	45	0.277460746966826	0.486870987651612
Fluoroquinolone	location	Cabo Douglas	-0.443008310826811	0.401514839158447	68	31	0.273946683884468	0.486870987651612
Tetracycline	location	Cabo Douglas	-0.259021464188779	0.206548261176648	68	64	0.214315808550265	0.486870987651612
Vancomycin	location	Punta Espinoza	-0.425408131683859	0.392567998748401	68	50	0.287696492703225	0.486870987651612
Other	location	Cabo Douglas	-0.310134745586521	0.307933247967987	68	56	0.317597668788971	0.499082050954097
MLSB	location	Cabo Douglas	0.332536077172373	0.369048009282918	68	47	0.370880593601216	0.54395820394845
Beta.Lactam	location	Cabo Douglas	-0.242626293200771	0.295484647100497	68	45	0.414583344076083	0.570052098104614
MGEs	location	Cabo Douglas	0.201747420838863	0.256678790519996	68	66	0.46042614092833	0.580293707581399
Sulfonamide	location	Cabo Douglas	0.238547393877448	0.331827806414586	68	31	0.474785760748417	0.580293707581399
Vancomycin	location	Cabo Douglas	0.146994303753369	0.432301646803861	68	50	0.737938948933887	0.854455625081343
Amphenicol	location	Punta Espinoza	-0.0624811365831659	0.336347599091448	68	58	0.855866442437399	0.867640007153209
MGEs	location	Punta Espinoza	-0.0484900207957077	0.250650533760023	68	66	0.850142838089345	0.867640007153209
MLSB	location	Punta Espinoza	0.0617480431891976	0.369048009282918	68	47	0.867640007153209	0.867640007153209
