feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aminoglycoside.aac.6..is_iu_ix	location	Punta Espinoza	1.08908390985953	0.195390832006275	68	10	5.64057530070161e-07	5.18932927664548e-05
Fluoroquinolone.qnrA	location	Punta Espinoza	0.70499097587169	0.157228828225007	68	17	3.05040068001894e-05	0.000951788681587174
MGEs.trb.C	location	Punta Espinoza	-0.700501024673927	0.154926596038327	68	58	3.103658744306e-05	0.000951788681587174
Tetracycline..tetPA	location	Punta Espinoza	-0.734292948508247	0.151974123325298	68	63	5.94755098434424e-05	0.00136793672639917
MGEs.ISEcp1	location	Punta Espinoza	-0.676590880282013	0.166022115945663	68	38	0.000350655269421243	0.00645205695735087
Fluoroquinolone.qepA_1_2	location	Rabida	0.633008364619814	0.171907099174629	68	17	0.000472217707439801	0.00724067151407694
Aminoglycoside.aadA7	location	Rabida	1.02396181025885	0.266720511489874	68	29	0.00366843778320847	0.0482137537221685
Amphenicol.cmlV	location	Punta Espinoza	-0.725610959760141	0.222594078584743	68	54	0.00727132460073465	0.0836202329084485
Aminoglycoside.aac.6..is_iu_ix	location	Rabida	0.97307755541306	0.359573032984977	68	10	0.00912740279585338	0.0933023396909456
MDR.tolC	location	Punta Espinoza	0.315102929673657	0.123053904435996	68	8	0.0127779342835022	0.11755699540822
Aminoglycoside.aac3.Via	location	Rabida	-1.40844863433041	0.428285425394254	68	58	0.0248835115262556	0.183719024529303
MDR.czcA	location	Rabida	0.549349315949948	0.242272923623565	68	59	0.0266927185678512	0.183719024529303
MGEs.IncP_oriT	location	Punta Espinoza	0.627169384870056	0.217855745506254	68	35	0.0244015184383712	0.183719024529303
MGEs.IncI1_repI1	location	Rabida	-0.694649615231554	0.308972049196229	68	18	0.0279572428631548	0.183719024529303
Aminoglycoside.aac.6..ig	location	Punta Espinoza	0.382222757491841	0.188590938653447	68	13	0.0467962507677733	0.205012146220721
MDR.bexA.norM	location	Rabida	-0.676043538446549	0.278930672238127	68	26	0.0346171974061012	0.205012146220721
MGEs.intI1F165_clinical	location	Punta Espinoza	-0.467319382610956	0.214043993864149	68	59	0.0397290843925232	0.205012146220721
MGEs.intl3	location	Punta Espinoza	-0.354412672717865	0.173509209450847	68	49	0.0451503196388915	0.205012146220721
Other.nisB	location	Punta Espinoza	-0.215879422586193	0.100994325114799	68	12	0.040680663215341	0.205012146220721
Tetracycline.tetR	location	Rabida	-0.810093972858988	0.380211486138106	68	29	0.0424302859092918	0.205012146220721
Vancomycin.vanC2.vanC3	location	Punta Espinoza	-0.532560702343908	0.250031107250736	68	50	0.0405869004768779	0.205012146220721
Aminoglycoside.acc3.iva	location	Punta Espinoza	-0.200956391055167	0.100465272398536	68	14	0.0496536318836368	0.207642460604299
Aminoglycoside.acc3.iva	location	Rabida	-0.304731228975676	0.154827382996406	68	14	0.053313186499901	0.208291212873389
Aminoglycoside.aph6ia	location	Rabida	-0.690776288616725	0.353499078101235	68	46	0.0549930869061979	0.208291212873389
Tetracycline.tetD	location	Punta Espinoza	-0.132022608930503	0.0618484874461116	68	9	0.056600873063421	0.208291212873389
MLSB.mefA	location	Punta Espinoza	-0.230306945839329	0.120994781614115	68	10	0.0614119533543005	0.217303834945987
