feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aminoglycoside.aac.6..is_iu_ix	location	Cabo Douglas	-1.08908390985804	0.195390832006213	68	10	5.64057530215407e-07	5.18932927798175e-05
Fluoroquinolone.qnrA	location	Cabo Douglas	-0.704990975871702	0.157228828225007	68	17	3.05040068005418e-05	0.000951788682090369
MGEs.trb.C	location	Cabo Douglas	0.700501024651855	0.154926596036906	68	58	3.10365874594685e-05	0.000951788682090369
Tetracycline..tetPA	location	Cabo Douglas	0.734292948508629	0.151974123325356	68	63	5.94755098007282e-05	0.00136793672541675
MGEs.ISEcp1	location	Cabo Douglas	0.676590880284359	0.166022115941182	68	38	0.000350655269449712	0.0064520569578747
Fluoroquinolone.qepA_1_2	location	Rabida	0.602684292259409	0.171907099174629	68	17	0.000830199538736268	0.0127297262606228
Aminoglycoside.aadA7	location	Rabida	1.0143174743402	0.25327689977416	68	29	0.00105448859427367	0.0138589929533111
Fluoroquinolone.qnrA	location	Rabida	-0.751728387016833	0.242305897595159	68	17	0.00283982075676686	0.0326579387028189
Tetracycline..tetPA	location	Rabida	0.742582564573887	0.238087969009104	68	63	0.0054925813511244	0.0561463871448272
Amphenicol.cmlV	location	Cabo Douglas	0.725610952012269	0.222594087666587	68	54	0.00727132388255203	0.0668961797194786
MDR.czcA	location	Rabida	0.647539773756843	0.242272923623565	68	59	0.00950045179205533	0.0794583240790082
MDR.tolC	location	Cabo Douglas	-0.315102929673635	0.123053904435996	68	8	0.0127779342835058	0.0904284580063489
MGEs.IncP_oriT	location	Rabida	-1.12520547738203	0.334994645629228	68	35	0.0120922399976993	0.0904284580063489
MGEs.IS1247	location	Rabida	0.716973037890654	0.26896488969844	68	23	0.0163405085330494	0.107380484645753
Other.fabK	location	Rabida	0.687182253752647	0.288254152351982	68	52	0.0200574817733317	0.123019221543101
MGEs.IncP_oriT	location	Cabo Douglas	-0.627169384870384	0.217855745506364	68	35	0.024401518136538	0.140308729285093
MGEs.trb.C	location	Rabida	0.564218939204631	0.246697900518173	68	58	0.0261129229828276	0.141316994965891
Aminoglycoside.aph6ia	location	Rabida	-0.751557855014117	0.353499078101235	68	46	0.0373020298103235	0.162722652894753
Aminoglycoside.aac3.Via	location	Rabida	-1.00391508779427	0.409590534488519	68	58	0.0396588557212203	0.162722652894753
MGEs.intI1F165_clinical	location	Cabo Douglas	0.467319382620048	0.214043993867744	68	59	0.0397290843916729	0.162722652894753
MGEs.intl3	location	Rabida	0.569121765504722	0.267395650095719	68	49	0.0371006391010628	0.162722652894753
Other.nisB	location	Cabo Douglas	0.215879422579538	0.100994325117548	68	12	0.0406806632236883	0.162722652894753
Vancomycin.vanC2.vanC3	location	Cabo Douglas	0.532560702341648	0.250031107250356	68	50	0.0405869004768451	0.162722652894753
Aminoglycoside.aac.6..ig	location	Cabo Douglas	-0.382222757491829	0.188590938653447	68	13	0.0467962507678808	0.171043622378528
Aminoglycoside.aacA43	location	Rabida	0.638245094420146	0.307187226922332	68	53	0.0520567546369434	0.171043622378528
Aminoglycoside.acc3.iva	location	Cabo Douglas	0.200956391055177	0.100465272398536	68	14	0.0496536318836627	0.171043622378528
MGEs.intl3	location	Cabo Douglas	0.354412672717865	0.173509209450847	68	49	0.0451503196388915	0.171043622378528
MGEs.IS6100	location	Rabida	0.234753815426328	0.118250882387925	68	8	0.0513426874154005	0.171043622378528
Sulfonamide.folA	location	Rabida	-0.560375539816083	0.289417692420857	68	19	0.0571914587541579	0.175387140179418
Tetracycline.tetD	location	Cabo Douglas	0.132022608927807	0.0618484874400823	68	9	0.0566008732361992	0.175387140179418
MLSB.mefA	location	Cabo Douglas	0.230306945839327	0.120994781614115	68	10	0.0614119533543036	0.182254829309546
Aminoglycoside.aac.6..Iy	location	Rabida	-0.364151471462256	0.199538973878849	68	14	0.07260188508273	0.208730419612849
MGEs.IncI1_repI1	location	Cabo Douglas	0.357059781939417	0.200487539641184	68	18	0.0795918823642043	0.221892520530509
MDR.tolC	location	Rabida	-0.333359969317967	0.189638802906315	68	8	0.0834779126558147	0.225881410715734
