feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aminoglycoside.aadA7	location	Punta Espinoza	-1.01431747433371	0.253276899769651	68	29	0.00105448859360388	0.0323376502038522
Fluoroquinolone.qepA_1_2	location	Cabo Douglas	-0.633008364619856	0.171907099174629	68	17	0.000472217707437563	0.0323376502038522
Fluoroquinolone.qepA_1_2	location	Punta Espinoza	-0.602684292259451	0.171907099174629	68	17	0.000830199538732616	0.0323376502038522
Fluoroquinolone.qnrA	location	Punta Espinoza	0.751728387016804	0.242305897595159	68	17	0.00283982075677509	0.0653158774058271
Aminoglycoside.aadA7	location	Cabo Douglas	-1.02396181025983	0.26672051148792	68	29	0.00366843778022343	0.067499255156111
Tetracycline..tetPA	location	Punta Espinoza	-0.742582564574465	0.23808796900887	68	63	0.00549258135365014	0.0842195807559688
Aminoglycoside.aac.6..is_iu_ix	location	Cabo Douglas	-0.973077555413609	0.359573032985014	68	10	0.00912740279558618	0.109255195608635
MDR.czcA	location	Punta Espinoza	-0.647539773756844	0.242272923623565	68	59	0.00950045179205524	0.109255195608635
MGEs.IncP_oriT	location	Punta Espinoza	1.12520547730309	0.334994645659138	68	35	0.0120922401814478	0.123609566299244
MGEs.IS1247	location	Punta Espinoza	-0.716973037889343	0.268964889699378	68	23	0.0163405085364917	0.150332678535724
Other.fabK	location	Punta Espinoza	-0.68718225375265	0.288254152351982	68	52	0.0200574817733394	0.167753483922475
Aminoglycoside.aac3.Via	location	Cabo Douglas	1.4084486343232	0.428285425375524	68	58	0.0248835115837582	0.171471089561113
MDR.czcA	location	Cabo Douglas	-0.54934931594995	0.242272923623565	68	59	0.0266927185678546	0.171471089561113
MGEs.trb.C	location	Punta Espinoza	-0.564218939181757	0.246697900520728	68	58	0.0261129229909057	0.171471089561113
MGEs.IncI1_repI1	location	Cabo Douglas	0.694649615231511	0.308972049196229	68	18	0.027957242863225	0.171471089561113
Aminoglycoside.aph6ia	location	Punta Espinoza	0.751557855014109	0.353499078101235	68	46	0.0373020298103788	0.190654819030825
MDR.bexA.norM	location	Cabo Douglas	0.676043538446889	0.278930672238264	68	26	0.0346171973949326	0.190654819030825
MGEs.intl3	location	Punta Espinoza	-0.569121765504722	0.267395650095719	68	49	0.0371006391010699	0.190654819030825
Aminoglycoside.aac3.Via	location	Punta Espinoza	1.00391508776706	0.409590534501117	68	58	0.0396588557399621	0.19203235410929
Tetracycline.tetR	location	Cabo Douglas	0.810093972855605	0.380211486134333	68	29	0.0424302859064931	0.195179315169868
Aminoglycoside.aacA43	location	Punta Espinoza	-0.638245094419454	0.307187226922677	68	53	0.0520567546416279	0.210464568215504
Aminoglycoside.acc3.iva	location	Cabo Douglas	0.304731228975701	0.154827382996406	68	14	0.0533131864998855	0.210464568215504
Aminoglycoside.aph6ia	location	Cabo Douglas	0.690776288616716	0.353499078101235	68	46	0.0549930869062005	0.210464568215504
MGEs.IS6100	location	Punta Espinoza	-0.234753815426355	0.118250882387925	68	8	0.0513426874154025	0.210464568215504
Sulfonamide.folA	location	Punta Espinoza	0.560375539816052	0.289417692420857	68	19	0.0571914587542131	0.210464568215504
Aminoglycoside.aac.6..Iy	location	Punta Espinoza	0.364151471462235	0.199538973878849	68	14	0.0726018850827508	0.256898977985118
MDR.tolC	location	Punta Espinoza	0.333359969318019	0.189638802906315	68	8	0.0834779126558326	0.28444261735424
MLSB.mefA	location	Cabo Douglas	0.324473587608622	0.186465481517056	68	10	0.086569492238247	0.28444261735424
Aminoglycoside.aac.6..ig	location	Punta Espinoza	0.485905288150565	0.290638155767092	68	13	0.0993603691866472	0.315212205695571
MGEs.IS1247	location	Cabo Douglas	-0.496765163435113	0.284668208054415	68	23	0.111114201576982	0.327889876691568
Other.mcr.1	location	Punta Espinoza	0.578226034359445	0.359825270768767	68	16	0.112909793476154	0.327889876691568
Tetracycline.tetR	location	Punta Espinoza	0.549818915298456	0.340294969906569	68	29	0.114048652762285	0.327889876691568
MDR.bexA.norM	location	Punta Espinoza	0.432367189322782	0.263628807062892	68	26	0.118811909784522	0.331233203035638
Other.nisB	location	Cabo Douglas	0.265485585583731	0.173445066590316	68	12	0.146682717371725	0.396906176417609
Amphenicol.cmlV	location	Cabo Douglas	0.577071697639177	0.367824112859524	68	54	0.177984103095155	0.467843928135837
Other.fabK	location	Cabo Douglas	-0.376722286949275	0.288254152351982	68	52	0.195848068923737	0.486992752412685
Sulfonamide.folA	location	Cabo Douglas	0.378236320156373	0.289417692420857	68	19	0.195855780861623	0.486992752412685
MGEs.int1.a.marko	location	Punta Espinoza	0.149742463099909	0.109650801406444	68	9	0.21824891753105	0.493380092771705
MGEs.IncP_oriT	location	Cabo Douglas	0.498036092373819	0.340020902141899	68	35	0.21987591090913	0.493380092771705
MGEs.intI1F165_clinical	location	Cabo Douglas	0.470755174667291	0.351160600137706	68	59	0.206316929467226	0.493380092771705
MGEs.ISEcp1	location	Punta Espinoza	-0.335059416449761	0.259270428365615	68	38	0.20936472671037	0.493380092771705
Other.mcr.1	location	Cabo Douglas	0.436208126918309	0.359825270768767	68	16	0.229794170093795	0.503358658300694
MGEs.ISEcp1	location	Cabo Douglas	0.341531463834279	0.280296099892926	68	38	0.243748257292017	0.516414503884973
Sulfonamide.sulA.folP	location	Cabo Douglas	-0.182957709934306	0.156610965872208	68	13	0.246980849684118	0.516414503884973
Tetracycline.tetD	location	Punta Espinoza	-0.11211702787449	0.0950996203222379	68	9	0.264069377526702	0.539875171832369
MGEs.IncI1_repI1	location	Punta Espinoza	0.337589833292085	0.308972049196228	68	18	0.278592660630494	0.557185321260988
Amphenicol.catQ	location	Cabo Douglas	-0.0999174613480649	0.0937516230317857	68	7	0.290471475709482	0.5685824630909
Vancomycin.vanC2.vanC3	location	Punta Espinoza	-0.417754055917719	0.392933500772577	68	50	0.296851351736827	0.568965090828919
Aminoglycoside.aacA43	location	Cabo Douglas	-0.356825635959996	0.333513697963654	68	53	0.308504563739288	0.579233058449276
MDR.marR	location	Punta Espinoza	0.452172432606496	0.464047951067185	68	30	0.339059039156927	0.615564149137947
MGEs.IS6100	location	Cabo Douglas	-0.113373216338291	0.118250882387925	68	8	0.341236647891688	0.615564149137947
MGEs.int1.a.marko	location	Cabo Douglas	0.120899698345307	0.116193405403332	68	9	0.364421469512678	0.644745676830123
Aminoglycoside.aac.6..Iy	location	Cabo Douglas	0.164521792789906	0.199538973878849	68	14	0.412665541615265	0.69808604033502
MGEs.ISPps1.pseud	location	Punta Espinoza	-0.124237113688596	0.150564164529781	68	10	0.412307927928641	0.69808604033502
MGEs.intl3	location	Cabo Douglas	-0.214709092786857	0.267395650095719	68	49	0.424921937595229	0.69808604033502
MGEs.mobA	location	Cabo Douglas	0.110845798434574	0.136849354050496	68	20	0.420904805230412	0.69808604033502
Beta_Lactam.blaOXY.1	location	Punta Espinoza	-0.289151919562386	0.368619602099476	68	35	0.435644235141193	0.703145081280521
MDR.mtrD	location	Cabo Douglas	0.280371442470083	0.362562432877627	68	17	0.4509678559896	0.703204114424461
MGEs.IS200_1	location	Cabo Douglas	0.188479349590587	0.237535114814033	68	11	0.446770562700519	0.703204114424461
MGEs.IS1111	location	Cabo Douglas	0.343134282501949	0.461520563920284	68	30	0.461412485388006	0.707499144261609
Aminoglycoside.acc3.iva	location	Punta Espinoza	0.103774837920529	0.154827382996406	68	14	0.505065532129366	0.747201909576684
Beta_Lactam.blaOXY.1	location	Cabo Douglas	-0.243239773143718	0.368619602099476	68	35	0.511670872862295	0.747201909576684
MDR.qacA.B	location	Cabo Douglas	-0.118676060627871	0.17851716073641	68	10	0.508537912262312	0.747201909576684
MDR.emrD	location	Punta Espinoza	-0.286810166250247	0.461795270472259	68	23	0.538335623616095	0.750407232919405
MDR.mtrD	location	Punta Espinoza	0.207942408804237	0.330631701321742	68	17	0.534946305496069	0.750407232919405
MGEs.IS200_1	location	Punta Espinoza	0.142553275014275	0.223065265158547	68	11	0.531722860186928	0.750407232919405
MGEs.IS200_2	location	Cabo Douglas	0.213389460931856	0.350951676702192	68	16	0.550949458932185	0.756527615250164
Aminoglycoside.aph4ib	location	Punta Espinoza	-0.0849448030589747	0.157410077487809	68	14	0.59887814242949	0.810246898581074
MLSB.mefA	location	Punta Espinoza	0.0941666417692935	0.186465481517056	68	10	0.615260910773249	0.820347881030998
MGEs.trb.C	location	Cabo Douglas	0.13628208549007	0.282199677056281	68	58	0.631638035909818	0.83015284719576
Aminoglycoside.aac.6..ig	location	Cabo Douglas	0.103682530658729	0.290638155767092	68	13	0.722441250230119	0.85455587872118
Aminoglycoside.aac.6..is_iu_ix	location	Punta Espinoza	0.116006354446166	0.311865869392834	68	10	0.711202345365537	0.85455587872118
Amphenicol.catQ	location	Punta Espinoza	-0.0342466408902928	0.0937516230317857	68	7	0.716080057670764	0.85455587872118
Amphenicol.cmlV	location	Punta Espinoza	-0.148539262120963	0.345630141729797	68	54	0.677581249911928	0.85455587872118
MDR.marR	location	Cabo Douglas	0.18733065704634	0.51315663220346	68	30	0.720204094005604	0.85455587872118
MDR.qacA.B	location	Punta Espinoza	-0.0650480106277886	0.17851716073641	68	10	0.716757307029258	0.85455587872118
MGEs.ISPps1.pseud	location	Cabo Douglas	-0.0619796135588168	0.150564164529781	68	10	0.681950856300829	0.85455587872118
MGEs.IS200_2	location	Punta Espinoza	0.112671806590793	0.316608658870441	68	16	0.72451476674187	0.85455587872118
Other.nisB	location	Punta Espinoza	0.0496061630180388	0.158446219831883	68	12	0.756824636806143	0.881365399824875
Vancomycin.vanC2.vanC3	location	Cabo Douglas	0.114806646423907	0.432150553436989	68	50	0.793691587743769	0.912745325905334
Fluoroquinolone.qnrA	location	Cabo Douglas	0.0467374111451078	0.242305897595159	68	17	0.84764968460119	0.947499990061809
MLSB.erm.35.	location	Punta Espinoza	-0.0577724504007692	0.314469597977301	68	28	0.854809773642719	0.947499990061809
Tetracycline.tetD	location	Cabo Douglas	0.0199055810526854	0.0969445528107764	68	9	0.844035093983404	0.947499990061809
MDR.emrD	location	Cabo Douglas	-0.0605721177015666	0.516976906888343	68	23	0.907699383758781	0.969385751984121
MDR.tolC	location	Cabo Douglas	0.018257039644373	0.189638802906315	68	8	0.923600207137698	0.969385751984121
MGEs.IS1111	location	Punta Espinoza	-0.031802164780707	0.405445188958331	68	30	0.937775347028117	0.969385751984121
MGEs.mobA	location	Punta Espinoza	0.0114849012513478	0.136849354050496	68	20	0.933375050115684	0.969385751984121
MLSB.erm.35.	location	Cabo Douglas	0.0387743756729168	0.314469597977301	68	28	0.902249323313808	0.969385751984121
Sulfonamide.sulA.folP	location	Punta Espinoza	-0.0135282591025717	0.156610965872208	68	13	0.931428855665955	0.969385751984121
Aminoglycoside.aph4ib	location	Cabo Douglas	-0.00283279769868862	0.162520431190371	68	14	0.986555346496529	0.991846660774138
MGEs.intI1F165_clinical	location	Punta Espinoza	0.0034357920471663	0.331741408313475	68	59	0.991846660774138	0.991846660774138
Tetracycline..tetPA	location	Cabo Douglas	-0.00828961606666065	0.2596186853476	68	63	0.975083464468944	0.991846660774138
