feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aminoglycoside.aadA7	location	Punta Espinoza	-1.01431747433371	0.253276899769651	68	29	0.00105448859360388	0.0323376502038522
Fluoroquinolone.qepA_1_2	location	Cabo Douglas	-0.633008364619856	0.171907099174629	68	17	0.000472217707437563	0.0323376502038522
Fluoroquinolone.qepA_1_2	location	Punta Espinoza	-0.602684292259451	0.171907099174629	68	17	0.000830199538732616	0.0323376502038522
Fluoroquinolone.qnrA	location	Punta Espinoza	0.751728387016804	0.242305897595159	68	17	0.00283982075677509	0.0653158774058271
Aminoglycoside.aadA7	location	Cabo Douglas	-1.02396181025983	0.26672051148792	68	29	0.00366843778022343	0.067499255156111
Tetracycline..tetPA	location	Punta Espinoza	-0.742582564574465	0.23808796900887	68	63	0.00549258135365014	0.0842195807559688
Aminoglycoside.aac.6..is_iu_ix	location	Cabo Douglas	-0.973077555413609	0.359573032985014	68	10	0.00912740279558618	0.109255195608635
MDR.czcA	location	Punta Espinoza	-0.647539773756844	0.242272923623565	68	59	0.00950045179205524	0.109255195608635
MGEs.IncP_oriT	location	Punta Espinoza	1.12520547730309	0.334994645659138	68	35	0.0120922401814478	0.123609566299244
MGEs.IS1247	location	Punta Espinoza	-0.716973037889343	0.268964889699378	68	23	0.0163405085364917	0.150332678535724
Other.fabK	location	Punta Espinoza	-0.68718225375265	0.288254152351982	68	52	0.0200574817733394	0.167753483922475
Aminoglycoside.aac3.Via	location	Cabo Douglas	1.4084486343232	0.428285425375524	68	58	0.0248835115837582	0.171471089561113
MDR.czcA	location	Cabo Douglas	-0.54934931594995	0.242272923623565	68	59	0.0266927185678546	0.171471089561113
MGEs.trb.C	location	Punta Espinoza	-0.564218939181757	0.246697900520728	68	58	0.0261129229909057	0.171471089561113
MGEs.IncI1_repI1	location	Cabo Douglas	0.694649615231511	0.308972049196229	68	18	0.027957242863225	0.171471089561113
Aminoglycoside.aph6ia	location	Punta Espinoza	0.751557855014109	0.353499078101235	68	46	0.0373020298103788	0.190654819030825
MDR.bexA.norM	location	Cabo Douglas	0.676043538446889	0.278930672238264	68	26	0.0346171973949326	0.190654819030825
MGEs.intl3	location	Punta Espinoza	-0.569121765504722	0.267395650095719	68	49	0.0371006391010699	0.190654819030825
Aminoglycoside.aac3.Via	location	Punta Espinoza	1.00391508776706	0.409590534501117	68	58	0.0396588557399621	0.19203235410929
Tetracycline.tetR	location	Cabo Douglas	0.810093972855605	0.380211486134333	68	29	0.0424302859064931	0.195179315169868
Aminoglycoside.aacA43	location	Punta Espinoza	-0.638245094419454	0.307187226922677	68	53	0.0520567546416279	0.210464568215504
Aminoglycoside.acc3.iva	location	Cabo Douglas	0.304731228975701	0.154827382996406	68	14	0.0533131864998855	0.210464568215504
Aminoglycoside.aph6ia	location	Cabo Douglas	0.690776288616716	0.353499078101235	68	46	0.0549930869062005	0.210464568215504
MGEs.IS6100	location	Punta Espinoza	-0.234753815426355	0.118250882387925	68	8	0.0513426874154025	0.210464568215504
Sulfonamide.folA	location	Punta Espinoza	0.560375539816052	0.289417692420857	68	19	0.0571914587542131	0.210464568215504
