sample_id,DNA_ext_date,Qubit ng.ul,Nanodrop ng.ul,260/280,260/230,pellet_mg,location,island,species,scientific_name,country,sequence_id,pielou_evenness,faith_pd,observed_features,shannon_entropy,bray_PC1_17.32,bray_PC2_14.55,bray_PC3_6.85,wu_PC1_17.21,wu_PC2_8.74,wu_PC3_6.55
CD02,1/1/21,4.18,6.8,1.52,0.51,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD02_S104_L001,0.561532621,24.95539665,56,3.261019232,-0.0100359,0.09134144,0.10303632,0.063947481,-0.04463602,-0.028868553
CD04,1/1/21,14.9,25.6,1.64,0.83,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD04_S75_L001,0.600534065,27.71924964,65,3.616637023,-0.0968038,0.01781656,-0.030354,0.06631451,0.10136449,0.017386906
CD06,1/1/21,11.6,15.6,1.97,0.05,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD06_S174_L001,0.567718912,22.35175426,53,3.251848771,0.06230468,0.12334058,0.00111676,-0.078442459,0.054753137,-0.098340049
CD07,1/1/21,3.82,6.6,1.85,0.16,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD07_S243_L001,0.629655884,29.58998703,71,3.872224457,-0.0559801,-0.003736,-0.0248406,0.049770068,0.021911791,0.053175333
CD09,1/1/21,7.54,10.6,1.97,0.06,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD09_S252_L001,0.591505555,18.78645145,46,3.267217579,-0.1296631,0.02318118,0.01947654,0.124755437,0.092302552,0.0012057
CD10,1/1/21,6.76,12.5,1.73,0.66,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD10_S46_L001,0.577516637,29.72837772,75,3.597246421,0.04486576,-0.0572857,-0.0039771,-0.083240561,0.020805871,0.030647295
CD11,1/1/21,5.66,7.1,1.95,0.1,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD11_S165_L001,0.587415371,20.55104505,47,3.262850871,-0.2093846,0.22441919,-0.0650327,0.191606855,0.17010161,-0.073764598
CD12,1/2/21,1.06,5.4,1,0.42,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD12_S134_L001,0.642735856,27.12281123,65,3.870791729,-0.0897201,-0.0369928,-0.1815249,-0.007992945,0.152240187,0.140863737
CD13,1/1/21,25.4,27.9,1.86,0.31,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD13_S157_L001,0.574573689,23.45388896,54,3.306606939,-0.0758122,-0.2144723,-0.0097643,-0.016195251,0.016119886,0.054151478
CD15,1/2/21,18.4,34.6,1.63,0.81,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD15_S56_L001,0.607038176,25.18342203,60,3.585708094,-0.0401223,-0.0618753,0.00857344,0.007303184,0.024626782,0.032900053
